Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","309500","3256","4.5","0x3E0402A80000830"
"901000","309500","3273","5.7",""
"1744000","309500","3269","6.4",""
"2589000","309500","3273","7.2",""
"3432000","309500","3271","8.3",""
"4526000","309500","3274","9.1",""
"5428000","309500","3272","10.2",""
"6276000","309500","3274","11.0",""
"7120000","309500","3272","11.8",""
"7963000","309500","3274","12.9",""
"9056000","309500","3273","14.1",""
"9958000","309500","3274","14.8",""
"10802000","309500","3273","15.6",""
"11646000","309500","3274","16.7",""
"12491000","309500","3274","17.5",""
"13576000","309500","3275","18.6",""
"14485000","309500","3274","19.4",""
"15328000","309500","3274","20.1",""
"16178000","309500","3273","21.3",""
"17021000","309500","3274","22.0",""
"18115000","309500","3274","23.2",""
"19016000","309500","3274","23.9",""
"19860000","309500","3273","25.1",""
"20703000","309500","3274","25.9",""
"21547000","309500","3273","26.6",""
"22640000","309500","3274","27.8",""
"23541000","309500","3274","28.5",""
"24385000","309500","3274","29.7",""
"25229000","309500","3274","30.4",""
"26072000","309500","3274","31.2",""
"27172000","309500","3274","32.3",""
"28072000","309500","3274","33.5",""
"28916000","309500","3274","34.2",""
"29760000","309500","3274","35.0",""
"30608000","309500","3274","35.7",""
"31702000","309500","3274","36.9",""
"32603000","309500","3274","38.0",""
"33447000","309500","3274","38.8",""
"34292000","309500","3274","39.6",""
"35135000","309500","3274","40.7",""
"36292000","309500","3274","41.9",""
"37136000","309500","3274","42.6",""
"37979000","309500","3274","43.4",""
"38823000","309500","3274","44.1",""
"39666000","309500","3274","45.3",""
"40759000","309500","3274","46.4",""
"41661000","309500","3274","47.2",""
"42505000","309500","3274","47.9",""
"43349000","309500","3274","49.1",""
"44192000","309500","3274","49.8",""
"45286000","309500","3274","51.0",""
"46192000","309500","3274","51.7",""
"47036000","309100","3274","52.5",""
"47879000","309100","3274","53.7",""
"48723000","309100","3274","54.4",""
"49816000","309100","3274","55.6",""
"50718000","309100","3274","56.3",""
"51562000","309100","3274","57.5",""
"52406000","309100","3274","58.2",""
"53249000","309100","3274","59.0",""
"54343000","309100","3274","60.1",""
"55244000","309100","3274","60.9",""
"56087000","309100","3274","62.0",""
"56936000","309100","3274","62.8",""
"57780000","309100","3274","63.5",""
"58873000","309100","3274","64.7",""
"59775000","309100","3274","65.8",""
"60619000","309100","3274","66.6",""
"61463000","309100","3274","67.4",""
"62306000","309100","3274","68.1",""
"63399000","309100","3274","69.3",""
"64301000","309100","3274","70.4",""
"65144000","309100","3274","71.2",""
"65988000","309100","3274","71.9",""
"66837000","309100","3274","72.7",""
"67929000","309100","3274","73.8",""
"68831000","309100","3274","75.0",""
"69675000","309100","3274","75.7",""
"70519000","309100","3274","76.5",""
"71362000","309100","3274","77.6",""
"72460000","309100","3274","78.4",""
"73361000","309100","3274","79.5",""
"74205000","309100","3274","80.3",""
"75049000","309100","3274","81.1",""
"75893000","309100","3275","82.2",""
"76991000","309100","3275","83.4",""
"77894000","309100","3275","84.1",""
"78736000","309100","3275","84.9",""
"79580000","309100","3275","86.0",""
"80423000","309100","3275","86.8",""
"81517000","309100","3275","87.9",""
"82417000","309100","3274","88.7",""
"83261000","309100","3275","89.4",""
"84105000","309100","3275","90.6",""
"84948000","309100","3275","91.4",""
"86042000","309100","3275","92.5",""
"86949000","309100","3275","93.2",""
"87792000","309100","3275","94.4",""
"88637000","309100","3275","95.2",""
"89480000","309100","3275","95.9",""
"90566000","309100","3275","97.1",""
"91475000","309100","3275","97.8",""
"92319000","309100","3275","99.0",""
"93163000","309100","3275","99.7",""
"94006000","309600","3275","100.5",""
"95099000","309600","3275","101.6",""
"96001000","309600","3275","102.8",""
"96850000","309600","3275","103.5",""
"97693000","309600","3275","104.3",""
"98537000","309600","3275","105.1",""
"99630000","309600","3275","106.2",""
"100531000","309600","3275","107.3",""
"101374000","309600","3275","108.1",""
"102219000","309600","3275","108.9",""
"103062000","309600","3275","110.0",""
"104155000","309600","3275","111.2",""
"105056000","309600","3275","111.9",""
"105899000","309600","3275","112.7",""
"106749000","309600","3275","113.8",""
"107592000","309600","3275","114.6",""
"108686000","309600","3275","115.7",""
"109588000","309600","3275","116.5",""
"110431000","309600","3275","117.2",""
"111274000","309600","3275","118.4",""
"112118000","309600","3275","119.2",""
"113211000","309600","3275","120.3",""
"114113000","309600","3275","121.1",""
"114962000","309600","3275","122.2",""
"115806000","309600","3275","123.0",""
"116654000","309600","3275","123.7",""
"117748000","309600","3275","124.9",""
"118649000","309600","3275","125.6",""
"119494000","309600","3275","126.8",""
"120337000","309600","3275","127.5",""
"121181000","309600","3274","128.3",""
"122274000","309600","3274","129.4",""
"123175000","309600","3274","130.6",""
"124019000","309600","3275","131.3",""
"124862000","309600","3275","132.1",""
"125706000","309600","3274","132.9",""
"126805000","309600","3274","134.0",""
"127706000","309600","3274","135.2",""
"128550000","309600","3274","135.9",""
"129394000","309600","3274","136.7",""
"130237000","309600","3274","137.8",""
"131330000","309600","3274","138.6",""
"132232000","309600","3274","139.7",""
"133076000","309600","3274","140.5",""
"133920000","309600","3274","141.2",""
"134764000","309600","3274","142.4",""
"135858000","309600","3275","143.5",""
"136765000","309600","3274","144.3",""
"137609000","309600","3274","145.0",""
