Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","305700","3287","4.5","0x3E0401E80000830"
"901000","305700","3274","5.7",""
"1750000","305700","3278","6.4",""
"2594000","305700","3273","7.2",""
"3436000","305700","3276","8.3",""
"4530000","305700","3274","9.5",""
"5431000","305700","3276","10.2",""
"6275000","305700","3274","11.0",""
"7118000","305700","3276","12.2",""
"7961000","305700","3275","12.9",""
"9054000","305700","3276","14.1",""
"9956000","305700","3275","14.8",""
"10800000","305700","3275","15.6",""
"11649000","305700","3274","16.7",""
"12498000","305700","3275","17.5",""
"13591000","305700","3274","18.6",""
"14491000","305700","3275","19.4",""
"15335000","305700","3274","20.5",""
"16179000","305700","3275","21.3",""
"17023000","305700","3274","22.0",""
"18116000","305700","3275","23.2",""
"19018000","305700","3274","23.9",""
"19861000","305700","3275","25.1",""
"20706000","305700","3274","25.9",""
"21554000","305700","3275","26.6",""
"22647000","305700","3274","27.8",""
"23548000","305700","3275","28.9",""
"24392000","305700","3274","29.7",""
"25235000","305700","3275","30.4",""
"26080000","305700","3274","31.2",""
"27173000","305700","3274","32.3",""
"28074000","305700","3274","33.5",""
"28917000","305700","3274","34.2",""
"29762000","305700","3274","35.0",""
"30604000","305700","3274","36.1",""
"31703000","305700","3274","36.9",""
"32604000","305700","3274","38.0",""
"33449000","305700","3274","38.8",""
"34292000","305700","3274","39.6",""
"35136000","305700","3274","40.7",""
"36221000","305700","3274","41.9",""
"37130000","305700","3274","42.6",""
"37975000","305700","3274","43.4",""
"38819000","305700","3274","44.5",""
"39662000","305700","3274","45.3",""
"40756000","305700","3274","46.4",""
"41663000","305700","3274","47.2",""
"42506000","305700","3274","47.9",""
"43350000","305700","3274","49.1",""
"44194000","305700","3274","49.8",""
"45287000","305700","3274","51.0",""
"46189000","305700","3274","51.7",""
"47033000","311700","3274","52.9",""
"47877000","311700","3274","53.7",""
"48721000","311700","3274","54.4",""
"49815000","311700","3274","55.6",""
"50716000","311700","3274","56.3",""
"51565000","311700","3274","57.5",""
"52409000","311700","3274","58.2",""
"53253000","311700","3274","59.0",""
"54350000","311700","3274","60.1",""
"55252000","311700","3274","61.3",""
"56096000","311700","3274","62.0",""
"56940000","311700","3274","62.8",""
"57783000","311700","3274","63.5",""
"58876000","311700","3274","64.7",""
"59777000","311700","3274","65.8",""
"60620000","311700","3274","66.6",""
"61470000","311700","3274","67.4",""
"62313000","311700","3274","68.5",""
"63406000","311700","3274","69.7",""
"64307000","311700","3274","70.4",""
"65150000","311700","3274","71.2",""
"65993000","311700","3274","72.3",""
"66837000","311700","3274","73.1",""
"67930000","311700","3274","74.2",""
"68832000","311700","3274","75.0",""
"69676000","311700","3274","75.7",""
"70519000","311700","3274","76.9",""
"71369000","311700","3274","77.6",""
"72462000","311700","3274","78.8",""
"73363000","311700","3274","79.5",""
"74207000","311700","3274","80.7",""
"75051000","311700","3274","81.5",""
"75895000","311700","3274","82.2",""
"76988000","311700","3274","83.4",""
"77890000","311700","3274","84.1",""
"78734000","311700","3274","85.3",""
"79577000","311700","3274","86.0",""
"80421000","311700","3274","86.8",""
"81519000","311700","3274","87.9",""
"82420000","311700","3274","89.1",""
"83264000","311700","3274","89.8",""
"84107000","311700","3274","90.6",""
"84951000","311700","3274","91.3",""
"86044000","311700","3274","92.5",""
"86945000","311700","3274","93.6",""
"87788000","311700","3274","94.4",""
"88632000","311700","3274","95.2",""
"89476000","311700","3274","96.3",""
"90569000","311700","3274","97.5",""
"91477000","311700","3274","98.2",""
"92322000","311700","3274","99.0",""
"93165000","311700","3274","100.1",""
"94009000","309500","3274","100.9",""
"95103000","309500","3274","102.0",""
"96009000","309500","3274","102.8",""
"96853000","309500","3274","103.5",""
"97696000","309500","3274","104.7",""
"98540000","309500","3274","105.4",""
"99634000","309500","3274","106.6",""
"100536000","309500","3274","107.3",""
"101384000","309500","3274","108.5",""
"102228000","309500","3274","109.3",""
"103072000","309500","3274","110.0",""
"104165000","309500","3274","111.2",""
"105067000","309500","3274","111.9",""
"105911000","309500","3274","113.1",""
"106755000","309500","3274","113.8",""
"107599000","309500","3274","114.6",""
"108691000","309500","3274","115.7",""
"109593000","309500","3274","116.9",""
"110437000","309500","3274","117.6",""
"111287000","309500","3274","118.4",""
"112130000","309500","3274","119.5",""
"113223000","309500","3274","120.3",""
"114123000","309500","3274","121.4",""
"114967000","309500","3274","122.2",""
"115811000","309500","3274","123.0",""
"116654000","309500","3274","124.1",""
"117747000","309500","3274","125.3",""
"118649000","309500","3274","126.0",""
"119491000","309500","3274","126.8",""
"120335000","309500","3274","127.9",""
"121184000","309500","3274","128.7",""
"122278000","309500","3275","129.8",""
"123180000","309500","3275","130.6",""
"124023000","309500","3275","131.3",""
"124867000","309500","3275","132.5",""
"125711000","309500","3275","133.3",""
"126805000","309500","3275","134.4",""
"127706000","309500","3275","135.1",""
"128549000","309500","3275","136.3",""
"129393000","309500","3275","137.1",""
"130236000","309500","3275","137.8",""
"131335000","309500","3275","139.0",""
"132234000","309500","3275","139.7",""
"133079000","309500","3275","140.9",""
"133922000","309500","3275","141.6",""
"134766000","309500","3275","142.4",""
"135859000","309500","3275","143.5",""
"136761000","309500","3275","144.7",""
"137604000","309500","3275","145.4",""
"138453000","309500","3274","146.2",""
"139296000","309500","3274","147.4",""
"140389000","309500","3275","148.1",""
"141296000","310000","3275","149.2",""
"142140000","310000","3275","150.0",""
"142983000","310000","3275","150.8",""
"143826000","310000","3275","151.9",""
"144920000","310000","3275","153.1",""
"145822000","310000","3275","153.8",""
"146665000","310000","3275","154.6",""
"147509000","310000","3275","155.7",""
"148352000","310000","3275","156.5",""
"149446000","310000","3275","157.6",""
"150346000","310000","3274","158.4",""
"151196000","310000","3274","159.5",""
"152039000","310000","3274","160.3",""
"152883000","310000","3274","161.1",""
"153976000","310000","3274","162.2",""
"154878000","310000","3274","163.0",""
"155721000","310000","3274","164.1",""
"156564000","310000","3274","164.9",""
"157408000","310000","3274","165.6",""
"158501000","310000","3274","166.8",""
"159402000","310000","3274","167.9",""
"160246000","310000","3274","168.7",""
"161095000","310000","3274","169.4",""
"161939000","310000","3275","170.6",""
"163033000","310000","3274","171.3",""
"163934000","310000","3274","172.5",""
"164777000","310000","3274","173.2",""
"165621000","310000","3274","174.0",""
"166464000","310000","3274","175.2",""
"167557000","310000","3274","176.3",""
"168459000","310000","3274","177.1",""
"169303000","310000","3274","177.8",""
"170147000","310000","3274","179.0",""
"170990000","310000","3274","179.7",""
"172089000","310000","3274","180.9",""
"172991000","310000","3274","181.6",""
"173835000","310000","3274","182.4",""
"174679000","310000","3274","183.5",""
"175522000","310000","3274","184.3",""
"176615000","310000","3274","185.4",""
"177517000","310000","3274","186.2",""
"178361000","310000","3274","187.3",""
"179203000","310000","3274","188.1",""
"180052000","310000","3274","188.9",""
"181143000","310000","3274","190.0",""
"182053000","310000","3274","191.2",""
"182896000","310000","3274","191.9",""
"183740000","310000","3274","192.7",""
"184583000","310000","3274","193.4",""
"185676000","310000","3274","194.6",""
"186577000","310000","3274","195.7",""
"187421000","310000","3274","196.5",""
"188265000","309600","3274","197.2",""
"189109000","309600","3274","198.4",""
"190202000","309600","3274","199.1",""
"191109000","309600","3274","200.3",""
"191954000","309600","3274","201.0",""
"192797000","309600","3274","201.8",""
"193641000","309600","3274","203.0",""
"194734000","309600","3275","204.1",""
"195635000","309600","3275","204.9",""
"196480000","309600","3274","205.6",""
"197322000","309600","3275","206.8",""
"198167000","309600","3275","207.5",""
"199259000","309600","3275","208.7",""
"200161000","309600","3275","209.4",""
"201005000","309600","3275","210.6",""
"201855000","309600","3275","211.3",""
"202698000","309600","3275","212.1",""
"203791000","309600","3275","213.2",""
"204693000","309600","3275","214.0",""
"205536000","309600","3275","215.1",""
"206380000","309600","3275","215.9",""
"207224000","309600","3275","216.7",""
"208317000","309600","3275","217.8",""
"209218000","309600","3275","219.0",""
"210062000","309600","3275","219.7",""
"210906000","309600","3275","220.5",""
"211755000","309600","3275","221.2",""
"212848000","309600","3274","222.4",""
"213749000","309600","3274","223.5",""
"214594000","309600","3274","224.3",""
"215436000","309600","3274","225.0",""
"216281000","309600","3274","226.2",""
"217373000","309600","3274","226.9",""
"218275000","309600","3274","228.1",""
"219118000","309600","3274","228.8",""
"219962000","309600","3275","229.6",""
"220806000","309600","3275","230.8",""
"221911000","309600","3275","231.9",""
"222811000","309600","3275","232.7",""
"223655000","309600","3275","233.4",""
"224498000","309600","3275","234.6",""
"225342000","309600","3275","235.3",""
"226435000","309600","3275","236.5",""
"227337000","309600","3275","237.2",""
"228181000","309600","3275","238.4",""
"229025000","309600","3275","239.1",""
"229869000","309600","3275","239.9",""
"230962000","309600","3275","241.0",""
"231869000","309600","3275","241.8",""
"232713000","309600","3275","242.9",""
"233556000","309600","3275","243.7",""
"234400000","309600","3275","244.5",""
"235493000","310400","3275","245.6",""
"236395000","310400","3275","246.8",""
"237239000","310400","3275","247.5",""
"238082000","310400","3274","248.3",""
"238926000","310400","3274","249.0",""
"240020000","310400","3274","250.2",""
"240922000","310400","3274","251.3",""
"241772000","310400","3274","252.1",""
"242616000","310400","3274","252.8",""
"243459000","310400","3274","254.0",""
"244551000","310400","3274","255.1",""
"245454000","310400","3274","255.9",""
"246297000","310400","3274","256.6",""
"247140000","310400","3274","257.8",""
"247984000","310400","3274","258.6",""
"249077000","310400","3274","259.7",""
"249978000","310400","3274","260.5",""
"250822000","310400","3274","261.2",""
"251671000","310400","3274","262.4",""
"252515000","310400","3274","263.1",""
"253609000","310400","3274","264.3",""
"254510000","310400","3274","265.0",""
"255353000","310400","3274","266.2",""
"256197000","310400","3274","266.9",""
"257040000","310400","3274","267.7",""
"258126000","310400","3275","268.8",""
"259034000","310400","3275","269.6",""
"259878000","310400","3275","270.8",""
"260721000","310400","3275","271.5",""
"261571000","310400","3274","272.3",""
"262663000","310400","3274","273.4",""
"263565000","310400","3274","274.6",""
"264414000","310400","3274","275.3",""
"265257000","310400","3274","276.1",""
"266100000","310400","3274","276.8",""
"267186000","310400","3274","278.0",""
"268094000","310400","3274","279.1",""
"268938000","310400","3274","279.9",""
"269781000","310400","3274","280.6",""
"270624000","310400","3274","281.8",""
"271722000","310400","3274","282.9",""
"272624000","310400","3274","283.7",""
"273468000","310400","3274","284.5",""
"274311000","310400","3274","285.6",""
"275155000","310400","3274","286.4",""
"276247000","310400","3274","287.5",""
"277148000","310400","3274","288.3",""
"277993000","310400","3274","289.0",""
"278835000","310400","3274","290.2",""
"279679000","310400","3274","290.9",""
"280773000","310400","3274","292.1",""
"281680000","310400","3274","292.8",""
"282522000","311700","3274","294.0",""
"283367000","311700","3274","294.7",""
"284210000","311700","3274","295.5",""
"285304000","311700","3274","296.6",""
"286205000","311700","3274","297.4",""
"287049000","311700","3274","298.6",""
"287893000","311700","3274","299.3",""
"288738000","311700","3274","300.1",""
"289830000","311700","3274","301.2",""
"290732000","311700","3274","302.4",""
