Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"0";"0";"3270";"9.8"
"1079000";"0";"3283";"11.8"
"2158000";"0";"3279";"13.7"
"3238000";"0";"3282";"15.3"
"4318000";"0";"3279";"17.3"
"5659000";"0";"3281";"19.6"
"6739000";"0";"3279";"21.2"
"7818000";"0";"3281";"23.1"
"8897000";"0";"3279";"25.1"
"9976000";"0";"3280";"27.1"
"11312000";"0";"3280";"29.4"
"12391000";"0";"3280";"31.0"
"13471000";"0";"3279";"33.0"
"14550000";"0";"3280";"34.9"
"15636000";"0";"3279";"36.5"
"16970000";"0";"3280";"38.9"
"18050000";"0";"3279";"40.8"
"19129000";"0";"3280";"42.8"
"20209000";"0";"3280";"44.8"
"21289000";"0";"3280";"46.3"
"22624000";"0";"3280";"48.7"
"23703000";"523500";"3281";"50.7"
"24789000";"523500";"3280";"52.2"
"25868000";"523500";"3280";"54.2"
"26948000";"523500";"3280";"56.2"
"28283000";"523500";"3280";"58.5"
"29364000";"523500";"3280";"60.1"
"30443000";"523500";"3280";"62.1"
"31522000";"523500";"3280";"64.0"
"32606000";"523500";"3280";"66.0"
"33941000";"523500";"3280";"68.0"
"35025000";"523500";"3280";"69.9"
"36105000";"523500";"3280";"71.9"
"37183000";"523500";"3280";"73.9"
"38263000";"523500";"3280";"75.4"
"39599000";"523500";"3280";"77.8"
"40679000";"523500";"3280";"79.8"
"41758000";"523500";"3280";"81.3"
"42838000";"523500";"3280";"83.3"
"43918000";"523500";"3280";"85.3"
"45259000";"523500";"3280";"87.6"
"46338000";"523500";"3280";"89.6"
"47417000";"523500";"3280";"91.2"
"48497000";"523500";"3280";"93.1"
"49577000";"523500";"3280";"95.1"
"50912000";"523500";"3280";"97.1"
"51993000";"523500";"3280";"99.0"
"53072000";"519200";"3280";"101.0"
"54152000";"519200";"3280";"103.0"
"55236000";"519200";"3280";"104.5"
"56570000";"519200";"3280";"106.9"
"57649000";"519200";"3280";"108.9"
"58729000";"519200";"3280";"110.8"
"59808000";"519200";"3280";"112.4"
"60888000";"519200";"3280";"114.4"
"62224000";"519200";"3280";"116.7"
"63303000";"519200";"3280";"118.7"
"64383000";"519200";"3280";"120.2"
"65469000";"519200";"3280";"122.2"
"66547000";"519200";"3280";"124.2"
"67883000";"519200";"3280";"126.5"
"68962000";"519200";"3280";"128.1"
"70042000";"519200";"3280";"130.1"
"71122000";"519200";"3280";"132.0"
"72203000";"519200";"3281";"134.0"
"73537000";"519200";"3281";"136.0"
"74628000";"519200";"3281";"137.9"
"75707000";"519200";"3281";"139.9"
"76786000";"519200";"3281";"141.9"
"77866000";"519200";"3281";"143.4"
"79200000";"519200";"3281";"145.8"
"80280000";"519200";"3280";"147.8"
"81360000";"519200";"3281";"149.3"
"82441000";"519200";"3281";"151.3"
"83520000";"519200";"3281";"153.3"
"84861000";"519200";"3281";"155.6"
"85940000";"519200";"3281";"157.2"
"87020000";"519200";"3281";"159.2"
"88100000";"519200";"3281";"161.1"
"89179000";"519200";"3281";"163.1"
"90514000";"519200";"3281";"165.1"
"91594000";"519200";"3281";"167.0"
"92674000";"519200";"3281";"169.0"
"93753000";"519200";"3281";"171.0"
"94838000";"519200";"3281";"172.5"
"96174000";"519200";"3281";"174.9"
"97253000";"519200";"3281";"176.9"
"98333000";"519200";"3281";"178.8"
"99412000";"519200";"3281";"180.4"
"100491000";"519200";"3281";"182.4"
"101826000";"519200";"3281";"184.7"
"102906000";"519200";"3281";"186.7"
"103985000";"519200";"3281";"188.3"
"105070000";"519200";"3281";"190.2"
"106151000";"519200";"3281";"192.2"
"107485000";"519200";"3281";"194.6"
"108564000";"519200";"3281";"196.1"
"109644000";"519200";"3281";"198.1"
"110724000";"519200";"3282";"200.1"
"111803000";"523500";"3281";"202.0"
"113137000";"523500";"3281";"204.0"
"114216000";"523500";"3281";"206.0"
"115302000";"523500";"3281";"207.9"
"116386000";"523500";"3281";"209.5"
"117467000";"523500";"3281";"211.5"
"118802000";"523500";"3281";"213.8"
"119882000";"523500";"3281";"215.8"
"120962000";"523500";"3281";"217.8"
"122041000";"523500";"3281";"219.3"
"123120000";"523500";"3281";"221.3"
"124455000";"523500";"3281";"223.6"
"125540000";"523500";"3282";"225.2"
"126619000";"523500";"3282";"227.2"
"127699000";"523500";"3281";"229.1"
"128778000";"523500";"3281";"231.1"
"130113000";"523500";"3282";"233.5"
"131193000";"523500";"3281";"235.0"
"132272000";"523500";"3281";"237.0"
"133351000";"523500";"3281";"239.0"
"134432000";"523500";"3281";"240.5"
"135772000";"523500";"3281";"242.9"
"136852000";"523500";"3281";"244.9"
"137933000";"523500";"3281";"246.8"
"139012000";"523500";"3281";"248.8"
"140092000";"523500";"3281";"250.4"
"141427000";"518700";"3281";"252.7"
"142507000";"518700";"3281";"254.7"
"143587000";"518700";"3281";"256.3"
"144672000";"518700";"3281";"258.2"
"145751000";"518700";"3281";"260.2"
"147086000";"518700";"3281";"262.6"
"148166000";"518700";"3281";"264.1"
"149246000";"518700";"3281";"266.1"
"150326000";"518700";"3281";"268.1"
"151406000";"518700";"3281";"270.0"
"152741000";"518700";"3281";"272.0"
"153820000";"518700";"3281";"274.0"
"154905000";"518700";"3281";"275.9"
"155984000";"518700";"3281";"277.9"
"157064000";"518700";"3282";"279.5"
"158404000";"518700";"3281";"281.8"
"159483000";"518700";"3281";"283.8"
"160564000";"518700";"3281";"285.8"
"161644000";"518700";"3281";"287.7"
"162724000";"518700";"3281";"289.3"
"164059000";"518700";"3281";"291.7"
"165144000";"518700";"3281";"293.6"
"166224000";"518700";"3281";"295.6"
"167303000";"518700";"3281";"297.2"
"168383000";"518700";"3281";"299.1"
"169719000";"518700";"3281";"301.5"
"170799000";"523300";"3282";"303.5"
"171879000";"523300";"3281";"305.0"
"172958000";"523300";"3281";"307.0"
"174037000";"523300";"3281";"309.0"
"175378000";"523300";"3281";"310.9"
"176459000";"523300";"3281";"312.9"
"177538000";"523300";"3281";"314.9"
"178617000";"523300";"3281";"316.8"
"179698000";"523300";"3281";"318.8"
"181032000";"523300";"3281";"320.7"
"182112000";"523300";"3281";"322.7"
"183191000";"523300";"3281";"324.7"
"184271000";"523300";"3282";"326.2"
"185357000";"523300";"3282";"328.2"
"186692000";"523300";"3282";"330.6"
"187772000";"523300";"3282";"332.5"
"188852000";"523300";"3282";"334.5"
"189931000";"523300";"3282";"336.1"
"191011000";"523300";"3282";"338.0"
"192346000";"523300";"3282";"340.4"
"193426000";"523300";"3282";"342.0"
"194505000";"523300";"3282";"343.9"
"195590000";"523300";"3282";"345.9"
"196670000";"523300";"3282";"347.9"
"198004000";"523300";"3282";"349.8"
"199085000";"523300";"3282";"351.8"
"200169000";"519200";"3281";"353.8"
"201248000";"519200";"3282";"355.7"
"202329000";"519200";"3282";"357.7"
"203663000";"519200";"3282";"359.7"
"204749000";"519200";"3281";"361.6"
"205829000";"519200";"3281";"363.6"
"206908000";"519200";"3281";"365.6"
"207988000";"519200";"3281";"367.1"
"209322000";"519200";"3281";"369.5"
"210402000";"519200";"3281";"371.5"
"211482000";"519200";"3281";"373.4"
"212561000";"519200";"3281";"375.0"
"213641000";"519200";"3281";"377.0"
"214981000";"519200";"3281";"379.3"
"216061000";"519200";"3281";"381.3"
"217141000";"519200";"3281";"382.9"
"218221000";"519200";"3281";"384.8"
"219301000";"519200";"3281";"386.8"
"220636000";"519200";"3281";"389.2"
"221716000";"519200";"3281";"390.7"
"222795000";"519200";"3281";"392.7"
"223876000";"519200";"3281";"394.7"
"224961000";"519200";"3281";"396.6"
"226296000";"519200";"3281";"398.6"
"227376000";"519200";"3281";"400.6"
"228456000";"519200";"3281";"402.5"
"229534000";"523400";"3281";"404.5"
"230615000";"523400";"3281";"406.5"
"231950000";"523400";"3281";"408.4"
"233029000";"523400";"3281";"410.4"
"234109000";"523400";"3281";"412.4"
"235193000";"523400";"3281";"413.9"
"236273000";"523400";"3281";"415.9"
"237607000";"523400";"3281";"418.3"
"238686000";"523400";"3281";"420.2"
"239766000";"523400";"3281";"421.8"
"240846000";"523400";"3280";"423.8"
"241930000";"523400";"3280";"425.7"
"243265000";"523400";"3280";"428.1"
"244345000";"523400";"3280";"429.6"
"245429000";"523400";"3280";"431.6"
"246509000";"523400";"3280";"433.6"
"247588000";"523400";"3280";"435.6"
"248924000";"523400";"3280";"437.5"
"250004000";"523400";"3280";"439.5"
"251083000";"523400";"3280";"441.4"
"252163000";"523400";"3280";"443.4"
"253243000";"523400";"3280";"445.0"
"254578000";"523400";"3280";"447.3"
"255664000";"523400";"3280";"449.3"
"256742000";"523400";"3280";"451.3"
"257823000";"523400";"3280";"452.8"
"258903000";"519200";"3280";"454.8"
"260237000";"519200";"3280";"457.2"
"261317000";"519200";"3280";"459.1"
"262397000";"519200";"3281";"461.1"
"263477000";"519200";"3280";"462.7"
"264557000";"519200";"3280";"464.6"
"265898000";"519200";"3280";"467.0"
"266978000";"519200";"3281";"468.6"
"268058000";"519200";"3281";"470.5"
"269138000";"519200";"3281";"472.5"
"270218000";"519200";"3281";"474.5"
"271553000";"519200";"3281";"476.8"
"272633000";"519200";"3280";"478.4"
"273712000";"519200";"3280";"480.4"
"274797000";"519200";"3281";"482.3"
"275877000";"519200";"3281";"484.3"
"277213000";"519200";"3281";"486.3"
"278293000";"519200";"3280";"488.2"
"279371000";"519200";"3280";"490.2"
"280452000";"519200";"3280";"492.2"
