Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","545900","3261","8.1","0x3E0612680000930"
"900000","545900","3274","9.7",""
"1743000","545900","3270","11.2",""
"2585000","545900","3274","12.8",""
"3429000","545900","3272","14.3",""
"4521000","545900","3275","16.3",""
"5421000","545900","3273","17.8",""
"6264000","545900","3276","19.0",""
"7108000","545900","3274","20.5",""
"7950000","545900","3275","22.1",""
"9049000","545900","3274","24.0",""
"9950000","545900","3275","25.6",""
"10792000","545900","3273","27.1",""
"11635000","545900","3274","28.7",""
"12478000","545900","3273","30.2",""
"13570000","545900","3274","32.2",""
"14470000","545900","3273","33.7",""
"15313000","545900","3274","35.3",""
"16156000","545900","3273","36.8",""
"16999000","545900","3274","38.0",""
"18091000","545900","3273","39.9",""
"18997000","545900","3274","41.5",""
"19841000","545900","3273","43.0",""
"20683000","545900","3274","44.6",""
"21526000","545900","3273","46.1","0x3E0613080000830"
"22617000","545900","3273","48.1","0x3E0612680000930"
"23519000","545900","3273","49.6",""
"24361000","545900","3273","51.2",""
"25204000","545900","3273","52.7",""
"26047000","545900","3274","54.3",""
"27140000","545900","3273","56.2",""
"28041000","537000","3274","57.8",""
"28890000","537000","3274","59.3",""
"29732000","537000","3274","60.9",""
"30575000","537000","3274","62.1",""
"31668000","537000","3274","64.0",""
"32568000","537000","3274","65.6",""
"33415000","537000","3274","67.1",""
"34258000","537000","3273","68.7",""
"35101000","537000","3274","70.2",""
"36194000","537000","3273","72.2",""
"37095000","537000","3274","73.7",""
"37938000","537000","3273","75.3",""
"38786000","537000","3274","76.8",""
"39629000","537000","3274","78.4",""
"40722000","537000","3274","79.9",""
"41624000","537000","3274","81.9",""
"42466000","537000","3274","83.0",""
"43309000","537000","3274","84.6",""
"44152000","537000","3274","86.1",""
"45245000","537000","3274","88.1",""
"46146000","537000","3274","89.6",""
"46988000","537000","3274","91.2",""
"47830000","537000","3274","92.7",""
"48679000","537000","3274","94.3",""
"49771000","537000","3274","96.2",""
"50673000","537000","3274","97.8",""
"51516000","537000","3274","99.3",""
"52360000","537000","3274","100.5",""
"53202000","537000","3274","102.0",""
"54294000","537000","3274","104.0",""
"55195000","537000","3274","105.5",""
"56037000","533500","3274","107.1",""
"56880000","533500","3274","108.6",""
"57723000","533500","3274","110.2",""
"58820000","533500","3274","112.1",""
"59721000","533500","3274","113.7",""
"60563000","533500","3274","115.2",""
"61406000","533500","3274","116.8",""
"62249000","533500","3274","118.4",""
"63341000","533500","3274","119.9","0xB800620D00000800"
"64546000","533500","3274","121.0",""
"65695000","533500","3275","121.8",""
"66842000","533500","3275","122.5",""
"67990000","533500","3275","123.3",""
"69079000","533500","3275","124.0",""
"70285000","533500","3275","124.7",""
"71432000","533500","3275","125.9",""
"72580000","533500","3275","126.6",""
"73729000","533500","3274","127.4",""
"74817000","533500","3274","128.1",""
"76022000","533500","3274","128.8",""
"77170000","533500","3274","129.6",""
"78323000","533500","3274","130.7",""
"79471000","533500","3274","131.5",""
"80554000","533500","3274","131.8",""
"81760000","533500","3274","132.9",""
"82909000","533500","3274","133.7",""
"84057000","533500","3274","134.4",""
"85204000","533500","3274","135.2",""
"86287000","533500","3274","135.9",""
"87493000","533500","3274","136.6",""
"88646000","533500","3274","137.8",""
"89794000","533500","3274","138.5",""
"90943000","533500","3274","139.3",""
"92025000","533500","3274","140.0",""
"93231000","533500","3274","140.7",""
"94377000","533500","3274","141.9",""
"95526000","533500","3274","142.6",""
"96674000","533500","3274","143.4",""
"97757000","533500","3274","144.1",""
"98969000","533500","3274","144.8",""
"100117000","533500","3274","145.6",""
