Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","3557000","3272","331852.4","0x3E0614A80004930"
"1098000","3557000","3272","331865.1",""
"1999000","3528400","3272","331875.8",""
"2844000","3528400","3272","331885.4",""
"3688000","3528400","3272","331895.3",""
"4531000","3528400","3272","331905.2",""
"5624000","3528400","3272","331917.9",""
"6527000","3529900","3272","331928.6",""
"7369000","3529900","3272","331938.1",""
"8212000","3529900","3272","331948.0",""
"9057000","3529900","3272","331957.9",""
"10148000","3529900","3272","331970.6",""
"11055000","3529400","3271","331981.3",""
"11899000","3529400","3272","331990.8",""
"12741000","3529400","3272","332000.7",""
"13584000","3529400","3272","332010.7",""
"14678000","3529400","3272","332023.3",""
"15580000","3531400","3272","332034.1",""
"16425000","3531400","3271","332043.6",""
"17269000","3531400","3272","332053.5",""
"18113000","3531400","3271","332063.4",""
"19205000","3531400","3271","332076.1",""
"20107000","3530400","3271","332086.8",""
"20956000","3530400","3271","332096.7",""
"21805000","3530400","3272","332106.6",""
"22648000","3530400","3271","332116.1",""
"23741000","3530400","3271","332128.8",""
"24642000","3523400","3271","332139.5",""
"25486000","3523400","3271","332149.4",""
"26329000","3523400","3271","332159.0",""
"27172000","3523400","3271","332168.9",""
"28257000","3523400","3271","332181.6",""
"29167000","3532400","3271","332192.3",""
"30010000","3532400","3271","332201.8",""
"30859000","3532400","3271","332211.7",""
"31703000","3532400","3271","332221.6",""
"32796000","3532400","3270","332234.3",""
"33697000","3527400","3270","332245.0",""
"34541000","3527400","3270","332254.5",""
"35383000","3527400","3270","332264.4",""
"36226000","3527400","3270","332274.3",""
"37320000","3527400","3270","332287.0",""
"38221000","3506200","3270","332297.3",""
"39065000","3506200","3270","332307.3",""
"39908000","3506200","3270","332317.2",""
"40756000","3506200","3270","332327.1",""
"41850000","3506200","3270","332339.8",""
"42752000","3553500","3270","332350.5",""
"43594000","3553500","3269","332360.0",""
"44437000","3553500","3270","332369.9",""
"45281000","3553500","3270","332379.8",""
"46374000","3553500","3270","332392.5",""
"47274000","3507200","3270","332402.8",""
"48119000","3507200","3270","332412.7",""
"48963000","3507200","3270","332422.6",""
"49807000","3507200","3270","332432.6",""
"50906000","3507200","3270","332445.2",""
"51808000","3524900","3270","332455.6",""
"52653000","3524900","3270","332465.5",""
"53496000","3524900","3270","332475.4",""
"54338000","3524900","3269","332485.3",""
"55432000","3524900","3270","332498.0",""
"56332000","3532400","3270","332508.3",""
"57177000","3532400","3270","332518.2",""
"58021000","3532400","3270","332528.1",""
"58865000","3532400","3270","332538.0",""
"59959000","3532400","3270","332550.7",""
"60867000","3523900","3271","332561.0",""
"61711000","3523900","3270","332570.9",""
"62555000","3523900","3270","332580.9",""
"63399000","3523900","3271","332590.8",""
"64497000","3523900","3271","332603.5",""
"65398000","3553500","3270","332614.2","0x3E0612C80004830"
"66241000","3553500","3270","332623.7","0x3E0612C80004930"
"67085000","3553500","3270","332633.6",""
"67930000","3553500","3270","332643.5",""
"69016000","3553500","3270","332656.2",""
"69925000","3503700","3270","332666.5",""
"70774000","3503700","3270","332676.4",""
"71617000","3503700","3270","332686.3",""
"72462000","3503700","3271","332696.2",""
"73555000","3503700","3270","332708.9",""
"74456000","3526900","3270","332719.2",""
"75300000","3526900","3271","332729.2",""
"76145000","3526900","3270","332739.1",""
"76988000","3526900","3270","332749.0",""
"78081000","3526900","3270","332761.7",""
"78982000","3530900","3271","332772.0",""
"79826000","3530900","3270","332781.9",""
"80675000","3530900","3271","332791.8",""
"81519000","3530900","3271","332801.7",""
"82613000","3530900","3271","332814.4",""
"83515000","3525900","3271","332824.7",""
"84358000","3525900","3271","332834.6",""
"85202000","3525900","3271","332844.5",""
"86046000","3525900","3271","332854.5",""
"87140000","3525900","3271","332867.1",""
"88042000","3529900","3271","332877.4",""
"88886000","3529900","3271","332887.4",""
"89729000","3529900","3271","332897.3",""
"90578000","3529900","3272","332907.2",""
"91672000","3529900","3271","332919.9",""
"92572000","3527900","3272","332930.2",""
"93416000","3527900","3272","332940.1",""
"94260000","3527900","3271","332950.0",""
"95103000","3527900","3272","332959.9",""
"96196000","3527900","3272","332972.6",""
"97099000","3530400","3272","332982.9",""
"97942000","3530400","3271","332992.8",""
"98786000","3530400","3272","333002.8","0x3E060C280004830"
"99631000","3530400","3272","333012.7","0x3E0614A80004930"
"100730000","3530400","3272","333025.4",""
"101632000","3525400","3272","333035.7",""
"102476000","3525400","3272","333045.6",""
"103319000","3525400","3272","333055.5",""
"104164000","3525400","3272","333065.4",""
"105257000","3525400","3272","333078.1",""
"106163000","3553500","3271","333088.8",""
"107007000","3553500","3272","333098.7",""
"107851000","3553500","3272","333108.2",""
"108694000","3553500","3271","333118.1",""
"109787000","3553500","3271","333130.8",""
"110694000","3526900","3271","333141.5",""
"111538000","3526900","3271","333151.0",""
"112382000","3526900","3271","333161.0",""
"113225000","3526900","3271","333170.9",""
"114318000","3526900","3272","333183.6",""
"115220000","3530900","3271","333194.3",""
"116065000","3530900","3271","333203.8",""
"116909000","3530900","3271","333213.7",""
"117753000","3530900","3271","333223.6",""
"118839000","3530900","3271","333236.3",""
"119748000","3502700","3271","333246.6",""
"120596000","3502700","3270","333256.5",""
"121441000","3502700","3271","333266.4",""
"122285000","3502700","3271","333276.3",""
"123378000","3502700","3271","333289.0",""
"124279000","3554000","3270","333299.7",""
"125122000","3554000","3271","333309.3",""
"125967000","3554000","3271","333319.2",""
"126811000","3554000","3270","333329.1",""
"127903000","3554000","3270","333341.8",""
"128805000","3504200","3270","333352.1",""
"129649000","3504200","3271","333362.0",""
"130493000","3504200","3271","333371.9",""
"131342000","3504200","3270","333381.8",""
"132436000","3504200","3271","333394.5",""
"133338000","3552500","3270","333405.2",""
"134180000","3552500","3270","333414.7",""
"135025000","3552500","3271","333424.6",""
"135869000","3552500","3270","333434.6",""
"136962000","3552500","3270","333447.2",""
"137863000","3531400","3270","333458.0",""
"138708000","3531400","3270","333467.5",""
"139551000","3531400","3270","333477.4",""
"140394000","3531400","3271","333487.3",""
"141494000","3531400","3271","333500.0",""
"142395000","3526400","3270","333510.7",""
"143239000","3526400","3270","333520.2",""
"144083000","3526400","3270","333530.1",""
"144927000","3526400","3270","333540.0",""
"146019000","3526400","3270","333552.7",""
"146922000","3530400","3270","333563.4",""
"147770000","3530400","3270","333573.3",""
"148614000","3530400","3270","333583.3",""
"149458000","3530400","3271","333592.8",""
"150557000","3530400","3270","333605.5",""
"151458000","3522900","3270","333616.2",""
"152302000","3522900","3270","333626.1",""
"153146000","3522900","3270","333635.6",""
"153988000","3522900","3270","333645.5",""
"155082000","3522900","3271","333658.2",""
"155983000","3531900","3271","333668.9",""
"156827000","3531900","3270","333678.8",""
"157671000","3531900","3271","333688.3",""
"158515000","3531900","3271","333698.2",""
"159601000","3531900","3271","333710.9",""
"160510000","3529900","3271","333721.6",""
"161360000","3529900","3271","333731.6",""
"162203000","3529900","3271","333741.1",""
"163048000","3529900","3272","333751.0",""
"164141000","3529900","3271","333763.7",""
"165043000","3525400","3271","333774.4",""
"165887000","3525400","3272","333784.3",""
"166731000","3525400","3272","333794.2",""
"167574000","3525400","3271","333803.7",""
"168667000","3525400","3272","333816.4",""
"169570000","3530400","3272","333827.1",""
"170413000","3530400","3272","333837.0",""
"171263000","3530400","3272","333846.9",""
"172107000","3530400","3272","333856.9",""
"173201000","3530400","3272","333869.5",""
"174103000","3525400","3272","333879.9","0x3E060CA80004830"
"174947000","3525400","3272","333889.8","0x3E0614A80004930"
"175790000","3525400","3272","333899.7",""
"176634000","3525400","3272","333909.2",""
"177729000","3525400","3272","333922.3",""
"178631000","3529400","3273","333932.6",""
"179474000","3529400","3272","333942.5",""
"180319000","3529400","3272","333952.4",""
"181169000","3529400","3272","333962.3",""
"182262000","3529400","3272","333975.0",""
"183163000","3525900","3272","333985.3",""
"184007000","3525900","3272","333995.2",""
"184851000","3525900","3272","334005.2",""
"185695000","3525900","3272","334015.1",""
"186788000","3525900","3272","334027.8",""
"187691000","3529900","3273","334038.1",""
"188535000","3529900","3272","334048.0",""
"189382000","3529900","3272","334057.9",""
"190227000","3529900","3273","334067.8",""
"191327000","3529900","3273","334080.5",""
"192228000","3522400","3272","334090.8",""
"193072000","3522400","3272","334100.7",""
"193915000","3522400","3272","334110.6",""
"194760000","3522400","3271","334120.5",""
"195853000","3522400","3272","334133.2",""
"196754000","3530400","3272","334143.5",""
"197599000","3530400","3272","334153.5",""
"198443000","3530400","3272","334163.4",""
"199286000","3530400","3272","334173.3","0x3E0612480004830"
"200379000","3530400","3272","334186.0","0x3E0612480004930"
"201286000","3553500","3272","334196.7",""
"202130000","3553500","3272","334206.2",""
"202975000","3553500","3272","334216.1",""
"203818000","3553500","3272","334226.0",""
"204911000","3553500","3272","334238.7",""
"205813000","3529900","3272","334249.4",""
"206658000","3529900","3272","334259.3",""
"207501000","3529900","3272","334268.8","0x3E0625480004830"
"208344000","3529900","3271","334278.8","0x3E0614A80004930"
"209438000","3529900","3272","334291.4",""
"210340000","3530400","3272","334302.1",""
"211188000","3530400","3271","334311.7",""
"212031000","3530400","3271","334321.6",""
"212875000","3530400","3272","334331.5",""
"213968000","3530400","3271","334344.2",""
"214870000","3527900","3271","334354.9",""
"215714000","3527900","3271","334364.8",""
"216557000","3527900","3271","334374.3",""
"217401000","3527900","3271","334384.2",""
"218493000","3527900","3271","334396.9",""
"219396000","3504200","3271","334407.2",""
"220238000","3504200","3271","334417.1",""
"221087000","3504200","3271","334427.1",""
"221931000","3504200","3271","334437.0",""
"223025000","3504200","3271","334449.7",""
"223926000","3554500","3270","334460.4",""
"224770000","3554500","3271","334469.9",""
"225614000","3554500","3271","334479.8",""
"226458000","3554500","3271","334489.7",""
"227551000","3554500","3271","334502.4",""
"228453000","3503200","3271","334512.7",""
"229296000","3503200","3271","334522.6",""
"230139000","3503200","3271","334532.5",""
"230989000","3503200","3271","334542.4",""
"232087000","3503200","3271","334555.1",""
"232988000","3550500","3270","334565.8",""
"233831000","3550500","3271","334575.4",""
"234674000","3550500","3270","334585.3",""
"235517000","3550500","3270","334595.2",""
"236610000","3550500","3270","334607.9",""
"237512000","3506200","3271","334618.2",""
"238355000","3506200","3270","334628.1",""
"239199000","3506200","3270","334638.0",""
"240043000","3506200","3271","334647.9",""
"241142000","3506200","3271","334660.6",""
"242044000","3525900","3270","334670.9",""
"242887000","3525900","3270","334680.8",""
"243731000","3525900","3271","334690.7",""
"244575000","3525900","3270","334700.7",""
"245669000","3525900","3270","334713.3",""
"246571000","3530400","3270","334723.6",""
"247415000","3530400","3270","334733.6",""
"248259000","3530400","3270","334743.5",""
"249103000","3530400","3270","334753.4",""
"250195000","3530400","3270","334766.1",""
"251103000","3553000","3270","334776.8",""
"251947000","3553000","3270","334786.3",""
"252789000","3553000","3270","334796.2",""
"253632000","3553000","3270","334806.1",""
"254726000","3553000","3270","334818.8",""
"255627000","3505700","3269","334829.1",""
"256471000","3505700","3270","334839.0",""
"257315000","3505700","3270","334848.9",""
"258159000","3505700","3269","334858.9",""
"259252000","3505700","3270","334871.6",""
"260155000","3529400","3270","334881.9",""
"261005000","3529400","3270","334891.8",""
"261848000","3529400","3269","334901.7",""
"262690000","3529400","3270","334911.6",""
"263784000","3529400","3270","334924.3",""
"264685000","3527400","3269","334934.6",""
"265530000","3527400","3270","334944.5",""
"266374000","3527400","3270","334954.4",""
"267217000","3527400","3269","334964.3",""
"268311000","3527400","3269","334977.0",""
"269213000","3529900","3269","334987.3",""
"270055000","3529900","3269","334997.2",""
"270903000","3529900","3269","335007.2",""
"271748000","3529900","3269","335017.1",""
"272841000","3529900","3270","335029.8",""
"273748000","3550500","3269","335040.5",""
"274592000","3550500","3269","335050.4","0x3E0611480004830"
"275436000","3550500","3269","335059.9","0x3E0611480004930"
"276280000","3550500","3269","335069.8",""
"277373000","3550500","3269","335082.5",""
"278274000","3530400","3269","335093.2",""
"279119000","3530400","3269","335102.7",""
"279963000","3530400","3269","335112.6",""
"280813000","3530400","3269","335122.5",""
"281906000","3530400","3269","335135.2",""
"282808000","3525400","3269","335145.9","0x3E0615480004830"
"283651000","3525400","3269","335155.9","0x3E0614A80004930"
"284495000","3525400","3269","335165.4",""
"285339000","3525400","3269","335175.3",""
"286432000","3525400","3268","335188.0",""
"287332000","3531900","3269","335198.7",""
"288177000","3531900","3269","335208.6",""
"289021000","3531900","3269","335218.1",""
"289864000","3531900","3269","335228.0",""
"290962000","3531900","3269","335241.1",""
"291863000","3527400","3269","335251.4",""
"292707000","3527400","3268","335261.3",""
"293551000","3527400","3269","335270.8",""
"294394000","3527400","3268","335280.8",""
"295486000","3527400","3269","335293.4",""
"296388000","3531900","3269","335304.2",""
"297231000","3531900","3269","335314.1",""
"298075000","3531900","3270","335324.0",""
"298920000","3531900","3270","335333.5",""
"300012000","3531900","3269","335346.2",""
"300918000","3527400","3270","335356.9",""
"301762000","3527400","3270","335366.8",""
"302606000","3527400","3270","335376.7",""
"303449000","3527400","3270","335386.2",""
"304543000","3527400","3270","335399.3",""
"305445000","3530400","3270","335409.6",""
"306289000","3530400","3269","335419.5",""
"307133000","3530400","3270","335429.5",""
"307978000","3530400","3270","335439.4","0x3E060BA80004830"
"309071000","3530400","3269","335452.1","0x3E0614A80004930"
"309972000","3530400","3269","335462.4",""
"310822000","3530400","3269","335472.3",""
"311666000","3530400","3269","335482.2",""
"312510000","3530400","3270","335491.7",""
"313602000","3530400","3270","335504.4",""
"314505000","3525400","3269","335515.1",""
"315354000","3525400","3270","335525.0",""
"316198000","3525400","3269","335534.9",""
"317042000","3525400","3269","335544.8",""
"318135000","3525400","3269","335557.5",""
"319037000","3526400","3270","335567.8",""
"319881000","3526400","3269","335577.8",""
"320730000","3526400","3269","335587.7",""
"321574000","3526400","3270","335597.6",""
"322667000","3526400","3270","335610.3",""
"323569000","3525900","3270","335620.6",""
"324411000","3525900","3270","335630.5",""
"325254000","3525900","3270","335640.4",""
"326098000","3525900","3270","335650.3",""
"327192000","3525900","3270","335663.0",""
"328093000","3532400","3270","335673.3",""
"328937000","3532400","3270","335683.2",""
"329780000","3532400","3270","335693.1",""
"330630000","3532400","3270","335703.1",""
"331724000","3532400","3271","335715.7",""
"332626000","3552500","3271","335726.5",""
"333470000","3552500","3271","335736.0",""
"334314000","3552500","3271","335745.9",""
"335158000","3552500","3271","335755.8",""
"336253000","3552500","3271","335768.5",""
"337154000","3502200","3271","335778.8",""
"337997000","3502200","3270","335788.7",""
"338840000","3502200","3270","335798.6",""
"339685000","3502200","3271","335808.5",""
"340776000","3502200","3271","335821.2",""
"341686000","3553000","3270","335831.9",""
"342530000","3553000","3270","335841.4",""
"343375000","3553000","3270","335851.4",""
"344219000","3553000","3270","335861.3",""
"345312000","3553000","3271","335874.0",""
"346212000","3530900","3270","335884.7",""
"347057000","3530900","3270","335894.2",""
