Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3287","9.7"
"1093000","0","3274","11.6"
"2186000","0","3279","13.6"
"3285000","0","3276","15.1"
"4377000","0","3278","17.1"
"5726000","0","3276","19.8"
"6819000","0","3278","21.8"
"7912000","0","3276","23.7"
"9006000","0","3277","25.2"
"10098000","0","3275","27.2"
"11446000","0","3276","29.5"
"12544000","0","3274","31.5"
"13637000","0","3276","33.4"
"14730000","0","3275","35.4"
"15824000","0","3276","36.9"
"17172000","0","3274","39.3"
"18264000","0","3275","41.2"
"19357000","0","3274","43.2"
"20449000","0","3275","45.1"
"21542000","0","3275","47.1"
"22896000","519300","3275","49.0"
"23989000","519300","3275","50.9"
"25082000","519300","3275","52.9"
"26175000","519300","3274","54.8"
"27267000","519300","3275","56.8"
"28616000","519300","3274","59.1"
"29708000","519300","3274","61.1"
"30805000","519300","3274","63.0"
"31898000","519300","3274","65.0"
"32997000","519300","3274","66.9"
"34344000","519300","3275","68.8"
"35437000","519300","3274","70.8"
"36530000","519300","3275","72.7"
"37623000","519300","3274","74.7"
"38715000","519300","3274","76.6"
"40064000","519300","3274","79.0"
"41157000","519300","3275","80.5"
"42255000","519300","3274","82.5"
"43348000","519300","3275","84.4"
"44441000","519300","3274","86.4"
"45789000","519300","3275","88.7"
"46882000","519300","3274","90.6"
"47974000","519300","3274","92.6"
"49067000","519300","3274","94.5"
"50160000","519300","3274","96.5"
"51508000","527800","3274","98.8"
"52606000","527800","3274","100.4"
"53699000","527800","3274","102.3"
"54791000","527800","3274","104.3"
"55884000","527800","3274","106.2"
"57232000","527800","3274","108.6"
"58325000","527800","3274","110.5"
"59418000","527800","3274","112.0"
"60510000","527800","3274","114.0"
"61603000","527800","3274","115.9"
"62957000","527800","3274","118.3"
"64049000","527800","3274","120.2"
"65142000","527800","3274","122.2"
"66235000","527800","3274","124.1"
"67328000","527800","3274","126.1"
"68676000","527800","3274","128.4"
"69769000","527800","3274","130.0"
"70862000","527800","3274","131.9"
"71954000","527800","3274","133.9"
"73057000","527800","3274","135.8"
"74405000","527800","3274","138.1"
"75498000","527800","3274","140.1"
"76591000","527800","3274","142.0"
"77683000","527800","3274","143.6"
"78776000","527800","3273","145.5"
"80124000","519300","3273","147.9"
"81217000","519300","3273","149.8"
"82316000","519300","3273","151.8"
"83409000","519300","3274","153.7"
"84503000","519300","3274","155.3"
"85852000","519300","3274","158.0"
"86944000","519300","3274","159.9"
"88037000","519300","3274","161.9"
"89129000","519300","3274","163.4"
"90222000","519300","3274","165.4"
"91571000","519300","3274","167.7"
"92670000","519300","3274","169.7"
"93763000","519300","3274","171.6"
"94855000","519300","3274","173.6"
"95948000","519300","3274","175.1"
"97296000","519300","3274","177.4"
"98389000","519300","3273","179.4"
"99481000","519300","3273","181.3"
"100573000","519300","3273","183.3"
"101667000","519300","3274","185.2"
"103020000","519300","3274","187.2"
"104112000","519300","3274","189.1"
"105205000","519300","3273","191.1"
"106298000","519300","3274","193.0"
"107390000","519300","3274","195.4"
"108739000","523600","3274","197.3"
"109832000","523600","3274","199.2"
"110925000","523600","3274","201.2"
"112018000","523600","3274","203.1"
"113116000","523600","3274","205.1"
"114470000","523600","3274","207.0"
"115563000","523600","3274","209.0"
"116656000","523600","3274","210.9"
"117749000","523600","3274","212.9"
"118842000","523600","3274","214.8"
"120191000","523600","3274","217.2"
"121284000","523600","3274","219.1"
"122382000","523600","3274","220.7"
"123475000","523600","3274","222.6"
"124567000","523600","3274","224.5"
"125915000","523600","3274","226.9"
"127008000","523600","3274","228.8"
"128101000","523600","3274","230.8"
"129194000","523600","3274","232.7"
"130286000","523600","3274","234.7"
"131635000","523600","3274","237.0"
"132734000","523600","3274","238.6"
"133827000","523600","3274","240.5"
"134920000","523600","3274","242.5"
"136012000","523600","3274","244.4"
"137361000","523400","3274","246.7"
"138453000","523400","3274","248.7"
"139546000","523400","3274","250.2"
"140640000","523400","3274","252.2"
"141732000","523400","3274","254.1"
"143086000","523400","3274","256.5"
"144179000","523400","3274","258.4"
"145272000","523400","3274","260.4"
"146365000","523400","3274","262.3"
"147459000","523400","3274","264.3"
"148806000","523400","3274","266.6"
"149899000","523400","3274","268.5"
"150992000","523400","3274","270.1"
"152085000","523400","3274","272.0"
"153182000","523400","3274","274.0"
"154531000","523400","3274","276.3"
"155624000","523400","3274","278.3"
"156722000","523400","3274","280.2"
"157815000","523400","3274","281.8"
"158908000","523400","3274","283.7"
"160256000","523400","3274","286.0"
"161349000","523400","3274","288.0"
"162448000","523400","3274","289.9"
"163541000","523400","3274","291.5"
"164633000","523400","3274","293.4"
"165982000","519200","3273","295.8"
"167075000","519200","3274","297.7"
"168168000","519200","3274","299.7"
"169260000","519200","3273","301.6"
"170353000","519200","3273","303.6"
"171700000","519200","3273","305.9"
"172799000","519200","3273","307.9"
"173892000","519200","3273","309.4"
"174985000","519200","3273","311.3"
"176077000","519200","3273","313.3"
"177425000","519200","3273","315.6"
"178518000","519200","3273","317.6"
"179612000","519200","3273","319.5"
"180704000","519200","3273","321.5"
"181798000","519200","3273","323.0"
"183152000","519200","3273","325.4"
"184245000","519200","3273","327.3"
"185337000","519200","3274","329.3"
"186430000","519200","3274","331.2"
"187522000","519200","3273","333.1"
"188871000","519200","3273","335.5"
"189964000","519200","3273","337.4"
"191057000","519200","3273","339.0"
"192149000","519200","3273","340.9"
"193248000","519200","3273","342.9"
"194595000","523600","3273","345.2"
"195688000","523600","3273","347.2"
"196780000","523600","3274","349.1"
"197874000","523600","3274","350.7"
"198972000","523600","3274","352.6"
"200320000","523600","3274","354.9"
"201412000","523600","3273","356.9"
"202511000","523600","3273","358.8"
"203604000","523600","3273","360.8"
"204697000","523600","3273","362.7"
"206044000","523600","3274","365.1"
"207138000","523600","3273","367.0"
"208230000","523600","3274","369.0"
"209323000","523600","3274","370.5"
"210416000","523600","3274","372.5"
"211764000","523600","3274","374.8"
"212862000","523600","3274","376.7"
"213955000","523600","3274","378.7"
"215049000","523600","3274","380.6"
"216141000","523600","3274","382.2"
"217489000","523600","3274","384.5"
"218582000","523600","3274","386.5"
"219674000","523600","3274","388.4"
"220768000","523600","3274","390.4"
"221861000","523600","3274","392.3"
"223216000","519200","3274","394.2"
"224309000","519200","3274","396.2"
"225402000","519200","3274","398.1"
"226494000","519200","3274","400.1"
"227588000","519200","3274","402.0"
"228935000","519200","3274","404.4"
"230028000","519200","3274","406.3"
"231121000","519200","3274","408.3"
"232220000","519200","3274","410.2"
"233313000","519200","3274","411.8"
"234661000","519200","3274","414.1"
"235754000","519200","3274","416.1"
"236848000","519200","3274","418.0"
"237940000","519200","3274","419.9"
"239033000","519200","3274","421.9"
"240385000","519200","3274","423.8"
"241478000","519200","3274","425.8"
"242576000","519200","3274","427.7"
"243669000","519200","3274","429.7"
"244762000","519200","3274","431.6"
"246112000","519200","3274","434.0"
"247204000","519200","3274","435.9"
"248298000","519200","3274","437.9"
"249391000","519200","3274","439.8"
"250484000","519200","3274","441.4"
"251832000","523500","3274","443.7"
"252930000","523500","3274","445.6"
"254023000","523500","3274","447.6"
"255116000","523500","3274","449.5"
"256208000","523500","3274","451.5"
"257557000","523500","3274","453.4"
"258650000","523500","3274","455.4"
"259742000","523500","3274","457.3"
"260836000","523500","3274","459.3"
"261929000","523500","3274","461.2"
"263283000","523500","3274","463.5"
"264377000","523500","3274","465.1"
"265469000","523500","3274","467.4"
"266561000","523500","3274","469.4"
"267655000","523500","3274","471.3"
"269002000","523500","3274","473.3"
"270095000","523500","3274","475.2"
"271188000","523500","3274","477.2"
"272287000","523500","3274","479.1"
"273380000","523500","3274","481.1"
"274728000","523500","3274","483.4"
"275822000","523500","3274","484.9"
"276915000","523500","3274","486.9"
"278008000","523500","3274","488.8"
"279101000","523500","3274","490.8"
"280449000","523500","3274","493.1"
"281542000","523500","3274","494.7"
"282646000","523500","3274","496.6"
"283738000","523500","3274","498.6"
"284832000","523500","3274","500.5"
"286179000","523500","3274","502.9"
"287273000","523500","3274","504.8"
"288365000","523500","3274","506.7"
"289458000","523500","3274","508.7"
"290551000","523500","3274","510.6"
"291900000","523500","3274","513.0"
"292999000","523500","3274","514.5"
