x60cm_sample_1_time(ms),x60cm_sample_1_power(watt),x60cm_sample_2_time(ms),x60cm_sample_2_power(watt),x60cm_sample_3_time(ms),x60cm_sample_3_power(watt),x60cm_sample_4_time(ms),x60cm_sample_4_power(watt),x60cm_sample_5_time(ms),x60cm_sample_5_power(watt),x60cm_sample_6_time(ms),x60cm_sample_6_power(watt),x60cm_sample_7_time(ms),x60cm_sample_7_power(watt),x60cm_sample_8_time(ms),x60cm_sample_8_power(watt),x60cm_sample_9_time(ms),x60cm_sample_9_power(watt),x60cm_sample_10_time(ms),x60cm_sample_10_power(watt)
0,0.0043564,0,0.0047452,0,0.0046661,0,0.0048651,0,0.0049458,0,0.0047056,0,0.0046268,0,0.0046661,0,0.0042807,0,0.0042807
10,0.0048249,15,0.0050682,14,0.0045099,15,0.0047452,14,0.0048249,15,0.0045487,16,0.0048249,17,0.0038758,16,0.0042807,17,0.0049864
22,0.0045877,29,0.0047452,30,0.004785,29,0.0043184,30,0.0041311,30,0.0050272,33,0.0044328,32,0.0046268,33,0.0043564,32,0.0044713
33,0.004785,45,0.0042807,44,0.0045877,45,0.0045877,44,0.0047056,45,0.0048249,48,0.0047452,48,0.004243,48,0.0046661,48,0.0047452
46,0.0045099,60,0.0044328,59,0.0050682,60,0.004785,59,0.0040207,60,0.0049458,65,0.0045099,65,0.0044713,64,0.0043564,65,0.0046268
57,0.0046661,74,0.0044328,75,0.0049458,74,0.0047056,75,0.0045099,74,0.004785,81,0.004243,80,0.0040942,81,0.0044713,80,0.0045099
69,0.0046661,90,2.0768e-06,89,0.0044328,90,0.0045099,89,0.0047452,91,0.0043564,96,0.0045099,97,0.0045487,96,0.0048249,96,0.0047056
80,0.0043564,103,2.0768e-06,104,0.004243,105,0.0045877,104,0.0044713,107,0.0049054,113,2.0768e-06,113,0.004785,113,0.0045877,113,0.0042807
93,0.0045099,115,0.0048249,120,0.0044713,119,0.0046268,120,0.0043945,123,0.0044713,127,0.0049054,128,0.0044713,129,0.0043945,128,0.004785
104,0.0043945,131,0.0048651,134,0.0041683,135,0.0034572,134,0.0046661,139,0.0044713,142,0.0049458,145,0.004243,144,0.0043184,145,0.0014256
117,0.0049458,145,0.0047452,150,0.0046268,150,0.0042807,149,0.0046268,155,0.0047056,159,0.0045487,161,0.0044328,161,0.004785,161,0.00073403
130,0.0048651,160,0.0043945,165,0.0045099,164,0.0047056,165,2.1267e-05,171,0.0047452,175,0.0045877,176,0.004785,177,0.0050272,175,0.0048651
143,0.0051506,176,0.004785,179,0.0047056,180,0.0048249,178,0.0044713,187,0.0046268,191,0.0045487,193,0.0047056,192,0.0042807,192,0.0047056
