x80cm_sample_1_time(ms),x80cm_sample_1_power(watt),x80cm_sample_2_time(ms),x80cm_sample_2_power(watt),x80cm_sample_3_time(ms),x80cm_sample_3_power(watt),x80cm_sample_4_time(ms),x80cm_sample_4_power(watt),x80cm_sample_5_time(ms),x80cm_sample_5_power(watt),x80cm_sample_6_time(ms),x80cm_sample_6_power(watt),x80cm_sample_7_time(ms),x80cm_sample_7_power(watt),x80cm_sample_8_time(ms),x80cm_sample_8_power(watt),x80cm_sample_9_time(ms),x80cm_sample_9_power(watt),x80cm_sample_10_time(ms),x80cm_sample_10_power(watt)
0,0.0040574,0,0.0043945,0,0.0039479,0,0.00384,0,0.0026321,0,0.004243,0,0.0042056,0,0.0036635,0,0.0039118,0,0.0039842
10,0.0039842,14,0.0041683,15,0.0039842,14,0.004243,14,0.0042056,14,0.0041311,16,0.0040207,16,0.004243,16,0.0040942,17,0.0044328
22,0.0041311,29,0.004243,30,0.0040574,30,0.0040574,30,0.0040207,30,0.0041311,32,0.0043564,32,0.0042807,32,0.0043564,33,0.00384
33,0.0044328,45,0.0036287,45,0.0043564,45,0.0045099,44,0.0040942,45,0.0042807,48,0.0042056,48,0.0036985,49,0.0040574,48,0.0039118
46,0.0035941,59,0.0040207,60,0.0040207,59,0.0041683,59,0.0039118,59,0.0035253,64,0.0040207,64,0.0040574,64,0.0043564,65,0.0037689
57,0.0043184,75,0.0041311,75,0.0043184,75,0.0043564,75,0.00384,76,0.0039479,80,0.0043564,80,0.0044713,80,0.0040942,81,0.0040942
69,0.0042807,90,0.0043184,89,0.0042056,90,0.004243,89,0.0041683,92,0.0041683,96,0.0042056,96,0.0038758,97,0.0039842,97,0.0042056
80,0.0044713,104,0.0044713,105,0.0042807,104,0.0042807,105,0.0040207,108,0.0039842,113,0.0043564,113,0.0038758,113,0.0041311,113,0.0036985
93,0.0043184,120,0.0040574,120,0.0043945,120,0.0036985,120,0.0042807,124,0.0040942,128,7.4765e-07,128,0.0038044,128,0.0041683,129,0.0041311
104,0.0039118,134,0.0041311,135,0.0042807,134,0.0040574,134,0.0036985,140,0.0040574,142,0.0039842,144,0.0045487,145,0.00384,145,0.0044713
