x70cm_sample_1_time(ms),x70cm_sample_1_power(watt),x70cm_sample_2_time(ms),x70cm_sample_2_power(watt),x70cm_sample_3_time(ms),x70cm_sample_3_power(watt),x70cm_sample_4_time(ms),x70cm_sample_4_power(watt),x70cm_sample_5_time(ms),x70cm_sample_5_power(watt),x70cm_sample_6_time(ms),x70cm_sample_6_power(watt),x70cm_sample_7_time(ms),x70cm_sample_7_power(watt),x70cm_sample_8_time(ms),x70cm_sample_8_power(watt),x70cm_sample_9_time(ms),x70cm_sample_9_power(watt),x70cm_sample_10_time(ms),x70cm_sample_10_power(watt)
0,0.0049864,0,0.0048249,0,0.0049864,0,0.0045099,0,0.0053595,0,0.0052754,0,0.0045487,0,0.0045877,0,0.004785,0,0.0051093
10,0.0051093,15,0.0054018,14,0.0044328,15,0.0050272,15,0.0043945,15,0.0048249,17,0.0050682,16,0.0047056,15,0.0016751,17,0.0051093
22,0.0049864,29,0.0023726,30,0.0048249,30,0.0046661,30,0.0050682,30,0.0052754,33,0.0049864,33,0.0047452,31,0.0048651,33,0.0048249
33,0.0049864,45,0.0052754,45,0.0050682,45,0.0050272,45,0.0048651,45,0.0052754,50,0.0049054,48,0.0049864,48,0.0047056,48,0.005192
46,0.0048651,59,0.0049054,60,0.0053174,59,0.004785,60,0.0051093,61,0.0048651,65,0.005192,64,0.0050272,63,0.0052337,65,0.0053595
57,0.0045487,74,0.0047452,75,0.005659,75,0.005192,74,0.004785,77,0.0053595,81,0.0051506,81,0.0047056,79,0.0049864,81,0.0050682
69,0.0050272,90,0.0044713,89,0.0049054,90,0.004785,90,0.0048249,94,0.0049864,98,0.0054443,96,0.0053174,96,0.0048249,96,0.0054443
80,0.0050272,104,0.0050272,105,0.0050682,104,0.0052337,105,0.0049054,109,0.0051506,113,0.0048249,112,0.004785,111,0.0047452,113,0.0051093
93,0.0049864,120,0.0048651,120,0.0050682,120,0.0047452,119,0.0053174,125,0.0049458,129,0.0050272,129,0.004785,128,0.0054018,129,0.0046661
104,0.0050272,135,0.0048651,134,0.0048651,135,0.0051093,135,0.0050272,142,0.0044328,146,0.0049864,144,0.0048249,144,0.0051506,145,0.0046268
117,0.005192,149,0.0052337,150,0.0046661,149,0.004785,150,0.0051093,157,0.0046268,161,0.0050272,161,0.0049458,159,0.0046268,161,0.0048651
130,0.0045487,165,0.0046268,165,0.0051093,165,0.0049054,164,0.0049864,173,0.0051506,178,0.0049054,177,0.0051093,176,0.0050682,177,0.0047056
143,0.0050272,180,0.0049864,179,0.0049458,180,0.0049054,180,0.0048651,190,0.0052337,194,0.0049458,192,0.0044328,192,0.004785,194,0.0046268
156,0.0046268,194,0.0051506,195,0.0045877,195,0.0049458,195,0.0042807,205,0.0050272,209,0.0045877,209,0.0048249,207,0.0049054,209,0.0051506
168,0.0050272,210,0.0056157,210,0.0048651,210,0.005192,209,0.0049458,222,0.0050682,226,0.0046661,225,0.0052754,224,0.0047452,225,0.0046268
182,0.0048651,224,0.0054018,224,0.0049054,224,0.0049864,225,0.0046661,238,0.0054869,242,0.0048651,240,0.0051506,240,0.0049458,242,0.0052337
194,0.0048651,239,0.0048249,240,0.0051093,240,0.0053174,239,0.0053174,253,0.0049054,257,0.0051093,257,0.005192,256,0.0050272,257,0.0045487
207,0.0053595,255,0.0045877,254,0.0053174,255,0.0053595,255,0.0049864,270,0.0052337,274,0.0049458,273,0.0049054,272,0.0050272,274,0.004785
220,0.0049864,269,0.0048651,269,0.0052754,269,0.0053595,270,0.0053595,286,0.0047452,290,0.0050272,289,0.0055726,288,0.0047452,290,0.005192
233,0.0052337,284,0.0047452,285,0.0054018,285,0.0054018,284,0.0048651,302,0.0051093,306,0.0049054,305,0.0050682,304,0.0046268,305,0.0048249
245,0.0046661,300,0.0046661,299,0.0050272,300,0.0047056,300,0.0050682,318,0.005192,322,0.0053595,321,0.0050272,320,0.0051093,322,0.0049054
259,0.0050682,314,0.0049054,315,0.0051093,314,0.0049458,315,0.0053174,334,0.004785,338,0.004785,338,0.0052337,336,0.0049458,338,0.0044713
272,0.0052754,329,0.0051506,330,0.0050682,330,0.0049054,329,0.0051093,351,0.0050682,354,0.0052337,353,0.0051506,353,0.004785,353,2.6916e-05
284,0.0051093,345,0.0052754,344,0.0051093,345,0.004785,345,0.0050682,366,0.0050682,370,0.0046661,369,0.0055726,368,0.0048249,369,0.0049864
297,0.0049054,359,0.0048249,360,0.0049864,359,0.0047056,360,0.0045877,382,0.005192,387,0.0046268,386,0.005192,385,0.0050272,385,0.004785
310,5.192e-05,375,0.0048651,375,0.0051506,375,0.0049458,374,0.0051506,399,0.0051093,402,0.0047452,401,0.004785,401,0.005192,401,0.0050272
322,0.0052754,389,0.004785,389,0.0050272,389,0.0047452,390,0.0049864,414,4.0706e-06,418,0.0051506,418,0.0050272,416,0.0050272,417,0.0050682
334,0.0051093,404,0.0054018,405,0.0045877,404,0.0054018,404,0.0051506,428,0.0052337,435,0.0052754,434,0.0051506,433,4.0706e-06,433,0.0052754
348,0.0053174,420,0.0050682,419,0.00030911,420,0.005192,419,0.0052337,445,0.0049054,451,0.0047056,449,0.0054869,447,0.0048651,449,0.0050272
360,0.0051506,434,0.0049054,433,0.0052337,434,0.004785,435,0.0046661,460,0.0049458,466,0.005192,466,0.0047452,462,0.0051093,465,0.0048249
373,0.0054869,449,0.005192,449,0.004785,449,0.0049054,449,0.0050272,476,0.005192,483,0.0050682,482,0.0050272,479,0.0050682,481,0.0054443
387,0.0049054,465,0.0049864,463,0.0054869,465,0.0051506,464,0.0048249,493,0.0049458,499,0.0049864,497,0.0051506,495,0.0054869,497,0.0049864
399,0.0053174,479,0.0050272,478,0.0051093,479,0.0049458,480,0.0045877,508,0.0048249,515,0.0048651,514,0.0052337,511,0.0049054,513,0.0049458
