Time(ms),Voltage(V),Power(Watt) 
0,1.1035,0.0055352
10,1.1572,0.0060872
22,1.1475,0.0059848
33,1.1475,0.0059848
46,1.1377,0.0058834
57,1.0498,0.0050095
69,1.123,0.0057329
80,1.1182,0.0056831
93,1.123,0.0057329
104,1.1572,0.0060872
117,1.1865,0.0063993
130,1.0986,0.0054863
143,1.1719,0.0062422
156,1.123,0.0057329
168,1.2012,0.0065582
182,1.1377,0.0058834
194,1.1768,0.0062944
207,1.0986,0.0054863
220,1.1572,0.0060872
233,1.1963,0.006505
245,1.084,0.005341
259,1.1621,0.0061386
272,1.1377,0.0058834
284,1.1523,0.0060359
297,1.0498,0.0050095
310,1.1572,0.0060872
323,1.1035,0.0055352
335,1.1328,0.005833
349,1.167,0.0061903
361,1.0986,0.0054863
374,1.2061,0.0066117
388,1.167,0.0061903
400,1.167,0.0061903
413,1.1279,0.0057828
425,1.1475,0.0059848
439,1.1182,0.0056831
451,1.1328,0.005833
464,1.1426,0.005934
477,1.1426,0.005934
490,1.1426,0.005934
503,1.1328,0.005833
516,1.1328,0.005833
529,1.123,0.0057329
541,1.1475,0.0059848
555,1.2109,0.0066653
567,1.1621,0.0061386
580,1.1963,0.006505
592,1.123,0.0057329
606,1.1768,0.0062944
619,1.1621,0.0061386
631,1.167,0.0061903
645,1.1914,0.006452
657,1.167,0.0061903
670,1.2061,0.0066117
683,1.1279,0.0057828
696,1.1621,0.0061386
708,1.1279,0.0057828
721,1.1133,0.0056336
735,0.029297,3.9014e-06
745,0.092773,3.9122e-05
757,1.1426,0.005934
770,1.1475,0.0059848
783,1.1426,0.005934
795,1.1768,0.0062944
808,1.1621,0.0061386
821,1.1768,0.0062944
834,1.0986,0.0054863
847,1.1719,0.0062422
860,1.084,0.005341
873,0.024414,2.7093e-06
883,1.1328,0.005833
897,1.1768,0.0062944
909,1.1816,0.0063467
922,1.1914,0.006452
934,1.0986,0.0054863
948,1.1084,0.0055843
960,1.1621,0.0061386
973,1.0986,0.0054863
987,1.123,0.0057329
999,1.1328,0.005833
1012,1.1523,0.0060359
1026,1.1377,0.0058834
1040,1.1523,0.0060359
1053,1.1377,0.0058834
1068,1.1133,0.0056336
1082,1.167,0.0061903
1095,1.2061,0.0066117
1110,1.1963,0.006505
1123,1.1328,0.005833
1137,1.1279,0.0057828
1152,1.1328,0.005833
1165,1.0742,0.0052452
1179,1.2207,0.0067733
1192,1.2012,0.0065582
1207,1.1572,0.0060872
1221,1.1377,0.0058834
1234,1.1328,0.005833
1249,1.2061,0.0066117
1262,1.1523,0.0060359
1276,1.1377,0.0058834
1291,1.1279,0.0057828
1304,1.1426,0.005934
1318,1.1475,0.0059848
1332,1.1279,0.0057828
1346,1.1914,0.006452
1360,1.2207,0.0067733
1374,1.1963,0.006505
1388,1.1621,0.0061386
1401,1.1084,0.0055843
1416,1.1816,0.0063467
1430,1.1523,0.0060359
1443,1.1865,0.0063993
1458,1.1523,0.0060359
1471,1.1914,0.006452
1485,1.1182,0.0056831
1500,1.1475,0.0059848
1513,1.0107,0.0046436
1527,1.1279,0.0057828
1541,1.0986,0.0054863
1555,1.1475,0.0059848
1569,1.1279,0.0057828
1583,1.1621,0.0061386
1597,1.1279,0.0057828
1610,1.167,0.0061903
1625,1.1426,0.005934
1639,1.167,0.0061903
1652,1.1719,0.0062422
1667,1.1816,0.0063467
1680,1.1377,0.0058834
1694,0.10742,5.2452e-05
1707,1.1475,0.0059848
1721,1.1523,0.0060359
1735,1.1426,0.005934
1748,1.1377,0.0058834
1763,1.1133,0.0056336
1776,1.167,0.0061903
1790,1.167,0.0061903
1805,1.1621,0.0061386
1818,1.1426,0.005934
1832,1.1621,0.0061386
