Time.s,Voltage.V,Power.Watt,Energy.J
0.009,0.32715,0.00048648,0.00000218916
0.019,0.16113,0.00011802,0.00000521166
0.029,0.31738,0.00045787,0.00000809111
0.04,0.32715,0.00048648,0.000013285035
0.051,0.3125,0.00044389,0.00001840207
0.062,0.32715,0.00048648,0.000023519105
0.072,0.31738,0.00045787,0.000028240855
0.083,0.33203,0.00050111,0.000033515245
0.094,0.33203,0.00050111,0.000039027455
0.105,0.33203,0.00050111,0.000044539665
0.116,0.33691,0.00051596,0.00005013355
0.129,0.32227,0.00047207,0.000056555745
0.14,0.32715,0.00048648,0.00006182777
0.152,0.33203,0.00050111,0.00006775331
0.163,0.32227,0.00047207,0.0000731058
0.176,0.33691,0.00051596,0.000079527995
0.187,0.33691,0.00051596,0.000085203555
0.199,0.3125,0.00044389,0.000090962655
0.21,0.31738,0.00045787,0.000095922335
0.223,0.29785,0.00040325,0.000101519615
0.235,0.31738,0.00045787,0.000106686335
0.246,0.32227,0.00047207,0.000111801005
0.259,0.33203,0.00050111,0.000118126675
0.27,0.32715,0.00048648,0.00012355842
0.282,0.3125,0.00044389,0.00012914064
0.293,0.32227,0.00047207,0.00013417842
0.316,0.31738,0.00045787,0.00014487273
0.328,0.3418,0.00053102,0.00015080607
0.339,0.32715,0.00048648,0.00015640232
0.352,0.32715,0.00048648,0.00016272656
0.363,0.32227,0.00047207,0.000167998585
0.375,0.3125,0.00044389,0.000173494345
0.387,0.33691,0.00051596,0.000179253445
0.399,0.32227,0.00047207,0.000185181625
0.411,0.33203,0.00050111,0.000191020705
0.422,0.32227,0.00047207,0.000196373195
0.435,0.30762,0.00043013,0.000202237495
0.446,0.30273,0.00041658,0.0002068944
0.458,0.3125,0.00044389,0.00021205722
0.47,0.32227,0.00047207,0.00021755298
0.482,0.31738,0.00045787,0.00022313262
0.493,0.30762,0.00043013,0.00022801662
0.505,0.30762,0.00043013,0.00023317818
0.517,0.33203,0.00050111,0.00023876562
0.529,0.33203,0.00050111,0.00024477894
