Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3264","30.8"
"1097000","0","3276","37.1"
"2191000","0","3272","43.1"
"3283000","0","3277","49.0"
"4376000","1650200","3275","54.9"
"5725000","1650200","3277","62.0"
"6816000","1650200","3275","68.0"
"7910000","1650200","3277","73.9"
"9002000","1650200","3275","79.8"
"10100000","1650200","3276","85.8"
"11447000","1650200","3274","92.9"
"12539000","1650200","3275","98.8"
"13632000","1631400","3274","104.8"
"14724000","1631400","3274","110.7"
"15816000","1631400","3273","116.6"
"17164000","1631400","3275","123.7"
"18256000","1631400","3274","129.7"
"19353000","1631400","3275","135.6"
"20447000","1631400","3275","141.5"
"21539000","1631400","3275","147.5"
"22887000","1644700","3275","155.0"
"23979000","1644700","3276","160.5"
"25072000","1644700","3275","166.5"
"26164000","1644700","3276","172.4"
"27257000","1644700","3275","178.3"
"28605000","1644700","3276","185.8"
"29703000","1644700","3275","191.8"
"30795000","1644700","3276","197.7"
"31888000","1644700","3275","203.6"
"32980000","1638800","3276","209.6"
"34328000","1638800","3275","216.7"
"35420000","1638800","3275","222.6"
"36512000","1638800","3275","228.6"
"37606000","1638800","3275","234.5"
"38698000","1638800","3275","240.4"
"40052000","1638800","3275","247.5"
"41144000","1638800","3275","253.5"
"42236000","1631400","3275","259.4"
"43334000","1631400","3274","265.3"
"44425000","1631400","3275","271.3"
"45773000","1631400","3274","278.4"
"46866000","1631400","3275","284.3"
"47958000","1631400","3275","290.3"
"49051000","1631400","3275","296.2"
"50148000","1631400","3275","302.1"
"51496000","1643800","3275","309.6"
"52589000","1643800","3275","315.6"
"53682000","1643800","3275","321.5"
"54774000","1643800","3275","327.4"
"55866000","1643800","3275","333.4"
"57214000","1643800","3275","340.5"
"58306000","1643800","3275","346.4"
"59404000","1643800","3275","352.4"
"60496000","1643800","3275","358.3"
"61589000","1638800","3275","364.2"
"62937000","1638800","3275","371.3"
"64030000","1638800","3275","377.3"
"65123000","1638800","3275","383.2"
"66215000","1638800","3275","389.1"
"67307000","1638800","3275","395.1"
"68655000","1638800","3275","402.2"
"69753000","1638800","3275","408.1"
"70846000","1631300","3275","414.1"
"71938000","1631300","3275","420.0"
"73031000","1631300","3275","425.9"
"74379000","1631300","3275","433.4"
"75472000","1631300","3275","439.4"
"76563000","1631300","3275","445.3"
"77656000","1631300","3275","451.2"
"78748000","1631300","3275","457.2"
"80102000","1644600","3275","464.3"
"81193000","1644600","3275","470.2"
"82286000","1644600","3275","476.2"
"83379000","1644600","3275","482.1"
"84476000","1644600","3274","488.0"
"85823000","1644600","3274","495.1"
"86916000","1644600","3274","501.1"
"88008000","1644600","3274","507.0"
"89106000","1644600","3274","512.9"
"90199000","1638000","3274","518.9"
"91547000","1638000","3274","526.4"
"92639000","1638000","3274","531.9"
"93732000","1638000","3274","538.3"
"94824000","1638000","3274","544.2"
"95917000","1638000","3275","550.1"
"97265000","1638000","3274","557.2"
"98358000","1638000","3274","563.2"
"99456000","1644400","3274","569.1"
"100548000","1644400","3274","575.0"
"101640000","1644400","3274","581.0"
"102987000","1644400","3274","588.1"
"104079000","1644400","3274","594.0"
"105172000","1644400","3274","600.0"
"106264000","1644400","3274","605.9"
"107357000","1644400","3273","611.8"
"108705000","1632700","3273","618.9"
"109803000","1632700","3274","625.3"
"110896000","1632700","3274","631.2"
"111988000","1632700","3274","637.1"
"113080000","1632700","3274","643.1"
"114428000","1632700","3274","650.2"
"115520000","1632700","3274","656.1"
"116612000","1632700","3274","662.1"
"117704000","1632700","3274","668.0"
"118796000","1651100","3274","673.9"
"120150000","1651100","3274","681.0"
"121243000","1651100","3273","687.0"
"122335000","1651100","3273","692.9"
"123428000","1651100","3273","698.8"
"124520000","1651100","3273","704.8"
"125867000","1651100","3273","712.3"
"126965000","1651100","3273","718.2"
"128057000","1643600","3273","724.1"
"129156000","1643600","3273","730.1"
"130248000","1643600","3273","736.0"
"131595000","1643600","3273","743.1"
"132688000","1643600","3273","749.1"
"133780000","1643600","3273","755.0"
"134872000","1643600","3273","760.9"
"135964000","1643600","3273","766.9"
"137311000","1631900","3273","774.0"
"138403000","1631900","3273","779.9"
"139501000","1631900","3273","785.8"
"140594000","1631900","3273","791.8"
"141686000","1631900","3273","797.7"
"143033000","1631900","3273","804.8"
"144127000","1631900","3273","810.8"
"145219000","1631900","3274","816.7"
"146312000","1631900","3274","822.6"
"147405000","1638600","3274","828.6"
"148753000","1638600","3274","836.1"
"149851000","1638600","3274","842.0"
"150943000","1638600","3274","847.9"
"152036000","1638600","3274","853.9"
"153129000","1638600","3274","859.8"
"154477000","1638600","3274","866.9"
"155568000","1638600","3274","872.9"
"156661000","1644600","3273","878.8"
"157753000","1644600","3273","884.7"
"158845000","1644600","3273","890.7"
"160199000","1644600","3274","898.2"
"161291000","1644600","3274","904.1"
"162383000","1644600","3274","910.0"
"163476000","1644600","3274","916.0"
"164567000","1644600","3274","921.9"
"165915000","1644800","3274","929.0"
"167008000","1644800","3274","935.0"
"168100000","1644800","3274","940.9"
"169203000","1644800","3274","946.8"
"170295000","1644800","3274","952.8"
"171643000","1644800","3274","959.9"
"172736000","1644800","3274","965.8"
"173828000","1644800","3274","971.7"
"174921000","1644800","3274","977.7"
"176013000","1637900","3274","983.6"
"177361000","1637900","3274","991.1"
"178454000","1637900","3274","997.1"
"179552000","1637900","3275","1003.0"
"180644000","1637900","3275","1008.9"
"181737000","1637900","3275","1014.9"
"183085000","1637900","3275","1022.0"
"184178000","1637900","3275","1027.9"
"185270000","1644400","3275","1033.8"
"186362000","1644400","3275","1039.8"
"187455000","1644400","3275","1045.7"
"188803000","1644400","3275","1052.8"
"189901000","1644400","3275","1058.8"
"190994000","1644400","3275","1064.7"
"192086000","1644400","3275","1070.6"
"193178000","1644400","3275","1076.6"
"194526000","1631500","3275","1083.7"
"195618000","1631500","3275","1090.0"
"196711000","1631500","3274","1095.9"
"197803000","1631500","3274","1101.9"
"198895000","1631500","3274","1107.8"
"200248000","1631500","3274","1114.9"
"201341000","1631500","3274","1120.9"
"202432000","1631500","3274","1126.8"
"203525000","1631500","3274","1132.7"
"204617000","1651100","3274","1138.7"
"205965000","1651100","3274","1145.8"
"207056000","1651100","3274","1151.7"
"208149000","1651100","3273","1157.6"
"209247000","1651100","3273","1163.6"
"210344000","1651100","3274","1169.5"
"211691000","1651100","3274","1177.0"
"212784000","1651100","3274","1183.0"
"213877000","1643800","3274","1188.9"
"214969000","1643800","3274","1194.8"
"216062000","1643800","3274","1200.8"
"217410000","1643800","3274","1207.9"
"218502000","1643800","3274","1213.8"
"219600000","1643800","3274","1219.7"
"220692000","1643800","3274","1225.7"
"221784000","1643800","3274","1231.6"
"223132000","1631600","3274","1238.7"
"224224000","1631600","3274","1244.7"
"225316000","1631600","3274","1250.6"
"226409000","1631600","3273","1256.5"
"227501000","1631600","3273","1262.5"
"228848000","1631600","3273","1269.6"
"229946000","1631600","3273","1275.5"
"231039000","1631600","3273","1281.4"
"232131000","1631600","3273","1287.4"
"233224000","1638900","3274","1293.3"
"234573000","1638900","3274","1300.8"
"235664000","1638900","3273","1306.8"
"236758000","1638900","3273","1312.7"
"237850000","1638900","3273","1318.6"
"238942000","1638900","3273","1324.6"
"240296000","1638900","3273","1331.7"
"241387000","1638900","3273","1337.6"
"242480000","1644500","3273","1343.5"
"243572000","1644500","3273","1349.5"
"244665000","1644500","3273","1355.4"
"246012000","1644500","3273","1362.5"
"247104000","1644500","3273","1368.5"
"248197000","1644500","3274","1374.4"
"249295000","1644500","3274","1380.3"
"250388000","1644500","3274","1386.2"
"251735000","1644800","3274","1393.8"
"252832000","1644800","3274","1399.7"
"253925000","1644800","3274","1405.6"
"255017000","1644800","3274","1411.6"
"256111000","1644800","3274","1417.5"
"257458000","1644800","3274","1424.6"
"258550000","1644800","3274","1430.5"
"259647000","1644800","3274","1436.5"
"260740000","1644800","3274","1442.4"
"261832000","1638000","3274","1448.3"
"263179000","1638000","3274","1455.5"
"264271000","1638000","3274","1461.4"
"265364000","1638000","3274","1467.3"
"266456000","1638000","3274","1473.3"
"267549000","1638000","3274","1479.2"
"268896000","1638000","3274","1486.7"
"269994000","1638000","3274","1492.6"
"271087000","1631800","3274","1498.2"
"272180000","1631800","3274","1504.1"
"273273000","1631800","3274","1510.0"
"274621000","1631800","3274","1517.6"
"275714000","1631800","3274","1523.5"
"276806000","1631800","3274","1529.4"
"277898000","1631800","3274","1535.4"
"278991000","1631800","3274","1541.3"
"280345000","1644100","3274","1548.4"
"281438000","1644100","3274","1554.3"
"282530000","1644100","3275","1560.3"
"283623000","1644100","3275","1566.2"
"284715000","1644100","3274","1572.1"
"286063000","1644100","3274","1579.7"
"287154000","1644100","3274","1585.6"
"288247000","1644100","3274","1591.5"
"289344000","1644100","3274","1597.5"
"290437000","1650900","3274","1603.4"
"291785000","1650900","3274","1610.5"
"292878000","1650900","3274","1616.4"
"293970000","1650900","3274","1622.4"
"295067000","1650900","3274","1628.3"
"296159000","1650900","3274","1634.2"
"297506000","1650900","3274","1641.8"
"298599000","1650900","3274","1647.3"
"299697000","1643800","3274","1653.6"
"300790000","1643800","3275","1659.6"
"301883000","1643800","3275","1665.5"
"303231000","1643800","3275","1672.6"
"304323000","1643800","3274","1678.5"
"305416000","1643800","3274","1684.5"
"306509000","1643800","3274","1690.4"
"307601000","1643800","3274","1696.3"
"308948000","1632300","3274","1703.5"
"310046000","1632300","3274","1709.4"
"311139000","1632300","3274","1715.3"
"312231000","1632300","3274","1721.3"
"313323000","1632300","3273","1727.2"
"314671000","1632300","3274","1734.3"
"315763000","1632300","3274","1740.2"
"316855000","1632300","3274","1746.2"
"317947000","1632300","3274","1752.1"
"319040000","1638900","3275","1758.0"
"320394000","1638900","3275","1765.6"
"321487000","1638900","3275","1771.5"
"322580000","1638900","3275","1777.4"
"323671000","1638900","3275","1783.4"
"324764000","1638900","3275","1789.3"
"326112000","1638900","3275","1796.4"
"327204000","1638900","3275","1802.3"
"328297000","1644500","3275","1808.3"
"329394000","1644500","3274","1814.2"
"330487000","1644500","3274","1820.1"
"331835000","1644500","3274","1827.7"
"332927000","1644500","3274","1833.6"
"334020000","1644500","3275","1839.5"
"335112000","1644500","3275","1845.1"
"336210000","1644500","3275","1851.4"
"337558000","1643700","3275","1858.5"
"338651000","1643700","3274","1864.4"
"339748000","1643700","3274","1870.4"
"340841000","1643700","3274","1876.3"
"341933000","1643700","3275","1882.2"
"343281000","1643700","3274","1889.4"
"344373000","1643700","3274","1895.3"
"345465000","1643700","3274","1901.2"
"346558000","1643700","3274","1907.2"
"347650000","1638800","3274","1913.1"
"348998000","1638800","3274","1920.2"
"350096000","1638800","3274","1926.1"
"351189000","1638800","3274","1932.1"
"352281000","1638800","3274","1938.0"
"353375000","1638800","3275","1944.3"
"354722000","1638800","3275","1951.5"
"355815000","1638800","3274","1957.4"
"356907000","1644400","3274","1963.3"
"358000000","1644400","3274","1969.3"
"359098000","1644400","3274","1975.2"
"360447000","1644400","3274","1982.3"
"361539000","1644400","3274","1988.2"
"362631000","1644400","3274","1994.2"
"363723000","1644400","3274","2000.1"
"364816000","1644400","3274","2006.0"
"366164000","1631400","3274","2013.2"
"367255000","1631400","3274","2019.1"
"368347000","1631400","3274","2025.0"
"369445000","1631400","3274","2030.9"
"370537000","1631400","3274","2036.9"
"371885000","1631400","3274","2044.4"
"372978000","1631400","3274","2050.3"
"374070000","1631400","3274","2056.3"
"375163000","1631400","3274","2062.2"
"376256000","1650900","3274","2068.1"
"377603000","1650900","3274","2075.2"
"378700000","1650900","3274","2081.2"
"379798000","1650900","3274","2087.1"
"380890000","1650900","3274","2093.0"
"381983000","1650900","3273","2099.0"
"383330000","1650900","3274","2106.1"
"384423000","1650900","3274","2112.0"
"385516000","1630700","3274","2118.0"
"386609000","1630700","3275","2123.9"
"387702000","1630700","3275","2129.8"
"389049000","1630700","3275","2137.3"
"390146000","1630700","3275","2143.3"
"391239000","1630700","3275","2149.2"
"392331000","1630700","3275","2155.1"
"393424000","1630700","3275","2161.1"
"394771000","1644700","3275","2168.2"
"395863000","1644700","3274","2174.1"
"396955000","1644700","3274","2180.1"
"398048000","1644700","3274","2186.0"
"399145000","1644700","3274","2191.9"
"400494000","1644700","3274","2199.0"
"401586000","1644700","3275","2205.0"
"402678000","1644700","3275","2210.9"
"403771000","1644700","3275","2216.8"
"404863000","1638900","3275","2222.8"
"406211000","1638900","3275","2230.3"
"407303000","1638900","3275","2236.2"
"408396000","1638900","3275","2242.2"
"409494000","1638900","3275","2248.1"
"410587000","1638900","3275","2254.0"
"411935000","1638900","3275","2261.1"
"413027000","1638900","3275","2267.1"
"414120000","1644400","3275","2273.0"
"415212000","1644400","3275","2278.9"
"416305000","1644400","3275","2284.9"
"417654000","1644400","3275","2292.0"
"418746000","1644400","3275","2297.9"
"419844000","1644400","3275","2303.9"
"420942000","1644400","3275","2309.8"
"422034000","1644400","3275","2315.7"
"423382000","1643500","3275","2323.2"
"424475000","1643500","3275","2329.2"
"425567000","1643500","3275","2334.7"
"426660000","1643500","3275","2341.0"
"427753000","1643500","3275","2347.0"
"429106000","1643500","3275","2354.1"
"430199000","1643500","3275","2360.0"
"431291000","1643500","3275","2366.0"
"432384000","1643500","3275","2371.9"
"433476000","1638600","3275","2377.8"
"434825000","1638600","3275","2384.9"
"435917000","1638600","3275","2390.9"
"437008000","1638600","3275","2396.8"
"438102000","1638600","3275","2402.7"
"439200000","1638600","3276","2408.7"
"440548000","1638600","3276","2416.2"
"441640000","1638600","3275","2422.1"
"442731000","1644700","3275","2428.1"
"443824000","1644700","3275","2434.0"
"444917000","1644700","3275","2439.9"
"446264000","1644700","3275","2447.0"
"447356000","1644700","3275","2453.0"
"448449000","1644700","3275","2458.9"
"449547000","1644700","3275","2464.8"
"450639000","1644700","3275","2470.8"
"451986000","1631600","3275","2477.9"
"453079000","1631600","3275","2483.8"
"454171000","1631600","3275","2490.2"
"455264000","1631600","3275","2496.1"
"456356000","1631600","3275","2502.0"
"457704000","1631600","3275","2509.1"
"458796000","1631600","3275","2515.1"
"459894000","1631600","3275","2521.0"
"460986000","1631600","3275","2526.9"
"462084000","1650000","3275","2532.9"
"463431000","1650000","3275","2540.0"
"464525000","1650000","3275","2545.9"
"465617000","1650000","3275","2551.9"
"466710000","1650000","3275","2557.8"
"467803000","1650000","3276","2563.7"
"469156000","1650000","3276","2571.2"
"470248000","1650000","3276","2577.2"
"471340000","1644500","3276","2583.1"
"472432000","1644500","3276","2589.0"
"473525000","1644500","3276","2595.0"
"474873000","1644500","3276","2602.1"
"475965000","1644500","3276","2608.0"
"477058000","1644500","3276","2614.0"
"478150000","1644500","3275","2619.9"
"479248000","1644500","3275","2625.8"
"480595000","1631600","3275","2632.9"
"481687000","1631600","3275","2638.9"
"482781000","1631600","3275","2645.2"
"483872000","1631600","3275","2651.1"
"484966000","1631600","3275","2657.1"
"486313000","1631600","3275","2664.2"
"487406000","1631600","3275","2670.1"
"488498000","1631600","3275","2676.0"
"489597000","1631600","3275","2682.0"
"490688000","1650700","3275","2687.9"
"492037000","1650700","3275","2695.0"
"493129000","1650700","3275","2701.0"
"494221000","1650700","3275","2706.9"
"495314000","1650700","3276","2712.8"
"496407000","1650700","3276","2718.8"
"497755000","1650700","3276","2726.3"
"498848000","1650700","3276","2732.2"
"499946000","1644300","3276","2738.1"
"501039000","1644300","3276","2744.1"
"502132000","1644300","3275","2750.0"
"503479000","1644300","3276","2757.1"
"504577000","1644300","3276","2763.1"
"505670000","1644300","3276","2769.0"
"506762000","1644300","3276","2774.9"
"507854000","1644300","3276","2780.9"
"509207000","1630600","3276","2788.0"
"510300000","1630600","3276","2793.9"
"511392000","1630600","3276","2800.2"
"512485000","1630600","3276","2806.2"
"513577000","1630600","3276","2812.1"
"514926000","1630600","3276","2819.2"
"516018000","1630600","3276","2825.2"
"517110000","1630600","3276","2831.1"
"518202000","1630600","3276","2837.0"
"519300000","1650700","3276","2843.0"
"520648000","1650700","3276","2850.1"
"521741000","1650700","3276","2856.0"
"522834000","1650700","3275","2861.9"
"523926000","1650700","3275","2867.9"
"525018000","1650700","3275","2873.8"
"526365000","1650700","3275","2880.9"
"527458000","1650700","3275","2886.9"
"528551000","1645500","3275","2893.2"
"529649000","1645500","3275","2899.1"
"530742000","1645500","3275","2905.1"
"532089000","1645500","3275","2912.2"
"533182000","1645500","3275","2918.1"
"534274000","1645500","3275","2924.0"
"535366000","1645500","3275","2930.0"
"536457000","1645500","3275","2935.9"
"537805000","1631800","3275","2943.0"
"538897000","1631800","3275","2949.0"
"539995000","1631800","3275","2954.9"
"541087000","1631800","3276","2960.8"
"542180000","1631800","3276","2966.8"
"543528000","1631800","3276","2974.3"
"544621000","1631800","3276","2980.2"
"545714000","1631800","3276","2986.1"
"546811000","1631800","3276","2992.1"
"547904000","1649800","3276","2998.0"
"549257000","1649800","3276","3005.1"
"550349000","1649800","3276","3011.1"
"551442000","1649800","3275","3017.0"
"552534000","1649800","3275","3022.9"
"553627000","1649800","3275","3028.9"
"554974000","1649800","3275","3036.4"
"556067000","1649800","3275","3041.9"
"557160000","1631400","3275","3047.8"
"558253000","1631400","3275","3053.8"
"559351000","1631400","3275","3060.1"
"560699000","1631400","3275","3067.2"
"561791000","1631400","3275","3073.2"
"562884000","1631400","3275","3079.1"
"563976000","1631400","3275","3085.0"
"565069000","1631400","3275","3091.0"
"566418000","1644300","3275","3098.1"
"567510000","1644300","3275","3104.0"
"568602000","1644300","3275","3109.9"
"569700000","1644300","3275","3115.9"
"570792000","1644300","3274","3121.8"
"572140000","1644300","3275","3129.3"
"573232000","1644300","3275","3135.3"
"574325000","1644300","3275","3141.2"
"575417000","1644300","3275","3147.1"
"576510000","1650900","3275","3153.1"
"577858000","1650900","3275","3160.2"
"578951000","1650900","3275","3166.1"
"580048000","1650900","3275","3172.0"
"581141000","1650900","3275","3178.0"
"582234000","1650900","3275","3183.9"
"583582000","1650900","3275","3191.0"
"584674000","1650900","3275","3197.0"
"585767000","1631300","3274","3202.9"
"586859000","1631300","3274","3208.8"
"587956000","1631300","3274","3214.8"
"589309000","1631300","3274","3222.3"
"590402000","1631300","3274","3228.2"
"591495000","1631300","3274","3234.1"
"592587000","1631300","3275","3240.1"
"593680000","1631300","3275","3246.0"
"595028000","1643600","3274","3253.1"
"596121000","1643600","3274","3259.1"
"597214000","1643600","3274","3265.0"
"598305000","1643600","3274","3270.9"
"599403000","1643600","3274","3276.8"
"600751000","1643600","3274","3284.0"
"601844000","1643600","3274","3289.9"
"602937000","1643600","3274","3295.8"
"604029000","1643600","3274","3301.8"
"605122000","1638700","3274","3307.7"
"606470000","1638700","3274","3315.2"
"607563000","1638700","3274","3321.1"
"608656000","1638700","3275","3327.1"
"609754000","1638700","3275","3333.0"
"610847000","1638700","3275","3338.9"
"612194000","1638700","3275","3346.1"
"613286000","1638700","3274","3352.0"
"614378000","1644500","3274","3357.9"
"615471000","1644500","3274","3363.9"
"616563000","1644500","3274","3369.8"
"617911000","1644500","3274","3376.9"
"619003000","1644500","3274","3382.8"
"620102000","1644500","3274","3389.2"
"621195000","1644500","3274","3395.1"
"622288000","1644500","3275","3400.6"
"623636000","1644100","3275","3408.2"
"624729000","1644100","3275","3414.1"
"625821000","1644100","3275","3420.0"
"626914000","1644100","3275","3426.0"
"628006000","1644100","3275","3431.9"
