Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","523500","3273","21176.2"
"1093000","523500","3274","21178.2"
"2186000","523500","3274","21179.7"
"3534000","523400","3274","21182.1"
"4627000","523400","3274","21184.0"
"5719000","523400","3274","21186.0"
"6812000","523400","3274","21187.9"
"7906000","523400","3274","21189.9"
"9254000","523400","3274","21192.2"
"10353000","523400","3274","21193.7"
"11446000","523400","3274","21195.7"
"12538000","523400","3274","21197.6"
"13631000","523400","3274","21199.6"
"14979000","523400","3274","21201.9"
"16072000","523400","3274","21203.9"
"17165000","523400","3274","21205.8"
"18258000","523400","3274","21207.8"
"19357000","523400","3274","21209.7"
"20705000","523400","3274","21212.0"
"21798000","523400","3274","21213.6"
"22891000","523400","3274","21215.5"
"23984000","523400","3274","21217.5"
"25077000","523400","3274","21219.4"
"26430000","523400","3274","21221.8"
"27523000","523400","3274","21223.7"
"28617000","523400","3274","21225.7"
"29716000","523400","3274","21227.6"
"30809000","523400","3274","21229.6"
"32158000","523400","3274","21231.5"
"33250000","523400","3274","21233.4"
"34343000","523400","3274","21235.4"
"35436000","523400","3274","21237.3"
"36528000","523400","3274","21239.3"
"37877000","523400","3274","21241.6"
"38969000","523400","3274","21243.6"
"40068000","523400","3274","21245.5"
"41162000","523400","3274","21247.5"
"42254000","523400","3274","21249.4"
"43604000","523400","3274","21251.4"
"44695000","523400","3274","21253.3"
"45789000","523400","3274","21255.2"
"46882000","523400","3274","21257.2"
"47975000","523400","3274","21259.1"
"49323000","523400","3274","21261.5"
"50421000","523400","3274","21263.4"
"51514000","523400","3274","21265.0"
"52608000","523400","3274","21266.9"
"53700000","523400","3274","21268.9"
"55049000","523400","3274","21271.2"
"56142000","523400","3274","21273.2"
"57236000","523400","3274","21275.1"
"58329000","523400","3274","21277.1"
"59428000","523400","3274","21279.0"
"60776000","527700","3274","21281.3"
"61869000","527700","3274","21282.9"
"62961000","527700","3274","21284.8"
"64054000","527700","3274","21286.8"
