Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3265","8.2"
"1086000","0","3281","10.2"
"2165000","0","3278","11.8"
"3244000","0","3282","13.3"
"4323000","0","3280","14.9"
"5657000","0","3283","16.9"
"6736000","0","3281","18.5"
"7816000","0","3283","20.0"
"8896000","0","3281","21.6"
"9980000","0","3282","23.2"
"11321000","0","3281","25.2"
"12400000","0","3282","26.7"
"13480000","0","3281","28.3"
"14559000","0","3281","29.9"
"15639000","0","3280","31.5"
"16974000","0","3281","33.4"
"18053000","0","3280","35.0"
"19131000","0","3281","37.0"
"20210000","0","3280","38.6"
"21294000","0","3281","40.1"
"22629000","0","3281","42.1"
"23708000","0","3281","43.7"
"24788000","0","3281","45.2"
"25868000","0","3281","46.8"
"26947000","0","3281","48.4"
"28282000","450200","3281","50.4"
"29362000","450200","3281","51.9"
"30441000","450200","3281","53.5"
"31527000","450200","3281","55.1"
"32605000","450200","3281","56.7"
"33939000","450200","3280","58.6"
"35019000","450200","3281","60.2"
"36098000","450200","3280","61.8"
"37177000","450200","3280","63.4"
"38257000","450200","3280","65.3"
"39591000","450200","3281","66.9"
"40677000","450200","3280","68.9"
"41756000","450200","3281","70.5"
"42835000","450200","3281","72.0"
"43915000","450200","3281","73.6"
"45249000","450200","3281","75.6"
"46329000","450200","3281","77.1"
"47409000","450200","3281","78.7"
"48487000","450200","3281","80.3"
"49567000","450200","3281","81.9"
"50908000","450200","3281","83.8"
"51993000","450200","3280","85.4"
"53072000","450200","3281","87.0"
"54151000","450200","3281","88.6"
"55231000","450200","3281","90.5"
"56566000","450200","3281","92.1"
"57645000","450200","3281","94.1"
"58725000","450200","3281","95.7"
"59804000","450200","3281","97.2"
"60890000","450200","3281","98.8"
"62224000","450100","3281","100.8"
"63304000","450100","3281","102.3"
"64384000","450100","3281","103.9"
"65463000","450100","3281","105.5"
"66542000","450100","3281","107.1"
"67878000","450100","3281","109.0"
"68957000","450100","3281","110.6"
"70037000","450100","3281","112.2"
"71122000","450100","3281","113.8"
"72201000","450100","3281","115.3"
"73536000","450100","3281","117.3"
"74615000","450100","3281","118.9"
"75694000","450100","3281","120.5"
"76773000","450100","3281","122.4"
"77852000","450100","3281","124.0"
"79187000","450100","3281","126.0"
"80265000","450100","3281","127.6"
"81351000","450100","3281","129.1"
"82430000","450100","3281","130.7"
"83509000","450100","3281","132.3"
"84844000","450100","3281","134.2"
"85923000","450100","3281","135.8"
"87002000","450100","3281","137.4"
"88083000","450100","3281","139.0"
"89162000","450100","3281","140.5"
"90503000","450100","3281","142.5"
"91582000","450100","3281","144.1"
"92663000","450100","3281","145.7"
"93746000","450100","3281","147.2"
"94826000","450100","3281","148.8"
"96160000","446500","3281","150.8"
"97239000","446500","3281","152.4"
"98318000","446500","3281","154.3"
"99399000","446500","3281","155.9"
"100483000","446500","3281","157.5"
"101818000","446500","3281","159.5"
"102897000","446500","3281","161.0"
"103977000","446500","3281","162.6"
"105056000","446500","3281","164.2"
"106136000","446500","3281","165.7"
"107471000","446500","3281","167.7"
"108551000","446500","3281","169.3"
"109630000","446500","3281","170.9"
"110716000","446500","3281","172.4"
"111795000","446500","3281","174.0"
"113131000","446500","3281","176.0"
"114210000","446500","3281","177.6"
"115289000","446500","3281","179.5"
"116368000","446500","3281","181.1"
"117448000","446500","3281","182.7"
"118782000","446500","3281","184.7"
"119862000","446500","3281","186.2"
"120947000","446500","3281","187.8"
"122027000","446500","3281","189.4"
"123106000","446500","3281","191.0"
"124441000","446500","3281","192.9"
"125521000","446500","3281","194.5"
"126601000","446500","3281","196.1"
"127680000","446500","3281","197.6"
"128760000","446500","3281","199.2"
"130095000","450200","3281","201.2"
"131180000","450200","3281","202.8"
"132259000","450200","3281","204.3"
"133339000","450200","3281","206.3"
"134419000","450200","3281","207.9"
