on time (s),off time (s)
3.33e-07,7.7474
0.00073071,0.025806
0.020286,0.020453
0,4.1e-08
0.020387,0.018658
0.00072829,0.017586
0.022532,0.016516
0.026243,0.016086
0.0093776,0.012618
0.0284,0.0086105
0,4.1e-08
0.040525,0.0043185
0.023497,0.017806
0.0093867,0.013882
0.029699,0.0079746
0.041847,0.0027246
0.024371,0.018017
0.029318,0.013511
0.0093776,0.0069808
0.042612,0.0010742
0.024427,0.017349
0.029142,0.012624
0.056488,0.0061392
0.0093784,0.015629
0.028158,0.0084799
0.044623,0.0037695
0.02782,0.016286
0.028085,0.011085
0.028963,0.0063662
0.04572,0.00085096
0.027782,0.015141
0.027726,0.0094338
0.029192,0.0053874
0.027112,0.00058788
0.029205,0.013458
0.080887,0.0067652
0.029729,0.012409
0.082111,0.0060094
0.029693,0.011913
0.047414,0.0049319
0.029134,0.014223
0.029957,0.0076007
0.048437,0.0014743
0.0093792,0.014307
0.029753,0.007922
0.048416,0.0018972
0.029364,0.012868
0.082101,0.0057904
0.0093873,0.013074
0.030429,0.0065818
0.049769,0.00046667
0.029585,0.013416
0.030149,0.0071603
0.049198,0.00078638
0.029375,0.013593
0.030115,0.007376
0.049288,0.00089579
0.0093805,0.01283
0.081822,0.0059245
0.029401,0.012486
0.066159,0.0058531
0.029537,0.01252
0.081658,0.0060656
0.0296,0.012581
0.047166,0.0048625
0.029402,0.012614
0.046323,0.0056682
0.02916,0.014095
0.030061,0.0070992
0.027112,0.00096887
0.0093701,0.012945
0.065636,0.0054756
0.0093787,0.012272
0.046558,0.0055408
0.029021,0.01397
0.030099,0.007866
0.04812,0.0021478
0.0093738,0.01366
0.030447,0.0067382
0.049921,0.00017317
0.029273,0.013307
0.081075,0.0065471
0.029799,0.011531
0.047464,0.004568
0.029104,0.013362
0,4.2e-08
0.030079,0.0078527
0.048595,0.0013303
0.029474,0.013153
0.030288,0.006245
0.049636,0.00078979
0.029301,0.013416
0.080854,0.0068695
0.029326,0.013483
0.030081,0.0064544
0.05001,0.00025383
0.029376,0.012733
0.066219,0.0063154
0.029647,0.011548
0.04743,0.0047996
0.029386,0.013378
0.030344,0.0069222
0.049175,0.00094946
0.02921,0.013449
0.030615,0.006227
0.050824,5.7292e-05
0.029324,0.012873
