on tims (s),off time (s)
0.9165,15.559
0.91751,9.9271
0.92264,9.871
0.92463,9.8814
0.92172,9.8709
0.9238,9.882
0.92074,9.881
0.92466,9.9519
0.92525,10.015
0.9218,9.9987
0.89892,9.9401
0.92714,9.9642
0.92062,9.9414
0.92057,9.9437
0.90762,9.9747
0.92046,9.9655
0.92129,9.9597
0.91915,9.9717
0.91643,9.9997
0.91886,9.9946
0.91542,10.045
0.91749,10.022
0.91312,10.045
0.91725,9.9964
0.91399,10.015
0.91059,10.012
0.89897,10.008
0.90952,10.023
0.90494,10.017
0.90307,10.013
0.88162,10.018
0.9021,9.9915
0.88179,10.012
0.88163,10.02
0.90134,10.038
0.90305,9.9371
0.89886,9.9742
0.90086,9.9755
0.899,9.9709
0.89479,9.9681
0.88167,9.9669
0.89861,9.9908
0.8958,10.015
0.89311,9.9608
0.8988,9.9577
0.90071,9.8766
0.88171,9.962
0.89591,10.044
0.89283,10.019
0.8937,9.9683
0,4.2e-08
0.89662,10.011
0.89289,10.035
0.89543,10.029
0.89032,9.9715
0.89253,9.9927
0.89476,10.009
0.87304,9.9916
0.89003,9.9884
0.87308,10.014
0.873,9.9882
0.87202,10.013
0.89072,10.015
0.89691,9.9359
0.89041,9.9989
0.87322,9.9887
0,4.2e-08
0.89049,9.9935
0.88854,10.038
0.88932,10.024
0.86441,10.152
0.88131,10.171
0.887,9.9638
0.88141,10.022
0.8889,9.9912
0.8886,9.984
0.88793,9.9729
0.88609,9.9847
0.88505,9.9675
0.88557,10.027
0.88475,10.029
0.8855,10.075
0.88364,10.028
0.86346,9.9587
0.88625,9.9893
0.88425,10.014
0.88524,9.937
0.88439,9.9561
0.86355,9.9774
0.88596,9.9921
0.88846,10.006
0.88628,10.035
0.88234,10.027
0.88852,9.9756
0.86307,9.9885
0,4.2e-08
0.88597,9.9864
0.88546,10.013
0.88417,10.038
0.87318,10.054
0.88873,10.05
0.88595,10.022
0.88754,10.019
0.87298,10.011
0.88275,10.025
0.88677,10.024
0.88402,10.075
0.88566,9.9814
0.88595,10.011
0.86441,10.009
0.88204,9.9995
0.88245,10.001
0.88345,9.9924
0.88638,9.9894
0.88689,9.903
0.88871,9.8886
0.87295,9.9164
0.87309,9.9183
0.88824,10.006
0.88418,9.969
0.89036,9.9742
0.87298,10.008
0.86387,9.9968
0.86435,10.217
0.88265,10.23
0.88246,10.245
0.87972,10.234
0.89071,10.255
0.88524,10.024
0.88569,9.9875
0.88519,9.9622
0.88776,9.9323
0.88453,9.9618
0.88679,9.9622
0.88408,10.029
0.88473,10.043
0.8852,10.02
0.88807,9.9071
0.88218,9.9053
0.88721,9.9022
0.88634,9.9547
0.888,9.9382
0.8876,9.9737
0.88625,9.968
0.89017,9.9685
0.88632,9.9609
0.88926,9.9218
0.87307,9.9363
0.87201,9.8812
0.88863,9.9027
0.88892,9.8759
0.87198,9.9211
0.88907,9.9372
0.88772,9.9684
0.87194,10.002
0.88873,9.9695
0.8886,9.9741
0.89165,9.9454
0.89043,9.9539
0.89064,9.9151
0.89293,9.9683
0,4.2e-08
0.89009,9.9733
0.88786,9.9727
0.89064,9.9786
0.89027,9.9727
0.88831,10.001
0.89451,9.9754
0.89122,9.9237
0.88873,9.9233
0.87267,9.9762
0.87293,9.9711
0.89082,9.9293
0.89114,9.9692
0.88125,10.002
0.89254,9.9767
0.87303,10.004
0.88999,9.9955
0.88763,9.9756
0.87306,9.9805
0.87209,9.9774
0.88723,9.9835
0.89021,10.002
0.8897,9.9575
0.89031,9.9668
0.87313,10.018
0.89007,9.9975
0.88975,9.9957
0.88958,10.05
0.2902,10.055
0.01218,10.074
0.012182,10.039
1.044,10.131
1.028,10.179
1.0292,10.152
0.012182,10.138
1.0335,10.155
1.0362,10.107
1.0369,10.104
1.0321,10.096
1.0343,10.131
1.0479,10.137
0.012182,10.218
1.0362,10.071
1.0429,10.024
0.012183,10.045
1.0354,10.092
1.0376,10.028
0.012185,10.079
1.0343,10.226
1.0363,10.123
1.0348,9.9551
1.0367,10.01
1.0401,9.9921
1.0386,9.9484
1.0392,9.9587
1.0387,10.016
1.04,10.076
1.0449,10.014
0.012181,10.055
1.0377,10.066
1.0388,10.009
1.038,9.957
1.0333,9.9809
1.0303,10.079
1.0386,9.9969
1.037,9.9611
1.0383,9.9424
1.0342,9.988
1.0343,10.043
1.0388,10.024
0.012181,10.133
1.0355,10.151
0.012183,10.057
1.0372,9.9826
1.037,9.9264
1.04,9.9966
0,4.2e-08
1.0353,10.068
1.0333,10.144
1.0354,10.075
0.012181,9.9861
1.0466,9.9724
1.0391,9.9454
1.0341,9.9465
0.012183,10.027
1.0382,10.095
1.0355,10.027
1.0404,10.008
1.0317,10.002
1.0339,9.9815
0.012182,9.9327
1.0354,9.961
0.012182,9.9847
0.012184,9.987
1.0351,10.01
1.0388,10.026
1.0328,10.007
1.0315,9.9507
1.0364,9.9576
1.039,10.008
1.0384,10.041
0.01218,10.025
1.0403,10.021
