on tims (s),off time (s)
0.89246,20.53
0.87532,18.348
0.87838,18.462
0.87697,18.136
0.8974,18.112
0.89503,18.044
0.8938,18.205
0.89594,18.288
0.87839,18.222
0.89609,18.143
0.89162,18.153
0.89561,18.172
0.89315,17.941
0.89672,18.054
0.89729,17.981
0.87695,18.006
0.89186,17.991
0.89555,18.014
0.87703,18.091
0.89333,18.097
0,4.2e-08
0.89516,18.098
0.87704,18.039
0.89127,18.027
0.87487,18.014
0.89176,18.018
0.89239,18.12
0.88937,17.972
0,4.2e-08
0.90507,18.077
0.87342,18.118
0.90092,18.047
0.88956,18.033
0.89094,17.994
0.87548,18.028
0.87488,18.026
0.86796,17.966
0,4.2e-08
0.87703,18.008
0.87546,17.975
0.89082,17.949
0.88914,17.943
0.88953,17.865
1.0031,17.272
0,1.7815
