on tims (s),off time (s)
1.2324,5.9316
0,4.2e-08
1.2033,6.5433
1.2015,6.6291
1.2202,6.4653
1.2051,6.4106
1.232,6.4534
1.2201,6.4515
1.2156,6.4608
1.2056,6.4422
0,4.2e-08
1.2159,6.4556
1.2248,6.4581
1.2139,6.4613
1.2025,6.4624
1.2107,6.4332
1.2037,6.4751
1.2202,6.4708
1.1946,6.4776
1.2173,6.4699
1.2044,6.4786
1.2019,6.4847
1.2122,6.4441
1.1978,6.4591
1.2183,6.4718
1.2202,6.4587
0,4.2e-08
1.1983,6.4551
1.2072,6.4319
1.2173,6.435
1.2192,6.4659
1.2182,6.4497
1.2105,6.4669
1.1973,6.4579
1.2185,6.4455
1.2029,6.454
1.2053,6.4463
1.2096,6.4653
1.2069,6.4611
1.2137,6.4767
1.2029,6.4512
1.2086,6.4451
1.2038,6.4767
0,4.2e-08
1.1904,6.4662
1.1762,6.4475
1.1976,6.4559
1.1964,6.4623
1.2042,6.4636
1.1809,6.4703
1.1933,6.4611
1.1961,6.4782
1.1976,6.4578
1.1965,6.5547
1.1876,6.5501
1.1652,6.6074
1.1825,6.5493
1.1797,6.5502
1.1587,6.5744
1.1687,6.6002
1.1621,6.6343
1.1612,6.6232
1.185,6.6228
1.1738,6.6134
1.1797,6.6286
1.1755,6.6085
1.1675,6.5773
0,4.1e-08
1.1927,6.5684
1.1861,6.5509
0,4.2e-08
1.1836,6.5437
1.1688,6.5087
1.1878,6.5474
1.1679,6.545
1.1929,6.558
1.1946,6.5418
1.1762,6.5576
0,4.2e-08
1.1911,6.5355
1.188,6.553
1.1975,6.5536
1.1857,6.5772
1.1917,6.5588
1.1863,6.5865
1.1906,6.5805
1.188,6.5928
1.1606,6.6015
1.166,6.5621
1.1857,6.5565
1.1889,6.5328
1.1728,6.5711
1.1771,6.5928
1.1872,6.5702
1.1902,6.5234
1.1917,6.5496
1.1775,6.5867
1.1867,6.5764
0,4.1e-08
1.1855,6.5545
1.1941,6.5615
1.175,6.5596
1.1832,6.5511
1.1664,6.5535
1.1979,6.5491
1.179,6.529
0,4.2e-08
0,4.2e-08
1.1911,6.5356
1.2026,6.5408
1.1691,6.5671
1.1934,6.581
1.1937,6.5689
1.1984,6.5559
1.1925,6.5201
1.1947,6.5613
1.1922,6.5618
1.1966,6.5512
1.2011,6.5685
1.1905,6.5461
1.1944,6.5804
1.19,6.5661
1.1958,6.5884
1.195,6.5961
1.1988,6.5847
1.2052,6.5732
1.1726,6.5888
1.1552,6.5361
1.1682,6.5422
1.186,6.5589
1.1808,6.5283
1.1874,6.5546
1.1859,6.6282
1.1952,6.5439
1.1869,6.5577
1.1995,6.5741
1.1951,6.5915
1.1988,6.5646
1.1713,6.5447
1.2004,6.5636
1.1804,6.5095
1.1983,6.4953
1.1852,6.5413
1.1987,6.5368
1.1662,6.5246
1.1989,6.5492
1.1822,6.561
1.1784,6.5123
1.194,6.4872
1.1993,6.5259
1.2,6.5109
1.1935,6.4963
1.202,6.5161
1.1983,6.502
1.197,6.5177
1.1939,6.5317
1.1907,6.4867
1.2022,6.5014
1.1961,6.5053
1.1783,6.4575
1.1946,6.465
1.184,6.4843
1.1976,6.4517
1.1829,6.4563
1.1909,6.4676
1.1862,6.449
1.185,6.4846
1.202,6.4986
1.2114,6.4696
1.1891,6.4689
1.1958,6.5385
0,4.2e-08
1.3429,6.5241
1.7244,6.5311
