on tims (s),off time (s)
0.83927,5.6741
0.8423,9.753
0.81607,9.7313
0.84448,9.7654
0.8425,9.7949
0.825,9.8291
0.81607,9.8215
0.83313,9.8323
0.84627,9.8203
0.81618,9.8344
0.84503,9.8197
0.83378,9.9145
0.84245,9.8728
0.84495,10.01
0.82495,10.023
0.83016,10.022
0.84363,9.9644
0.81613,9.9911
0.83982,9.9599
0.80734,9.9604
0.83023,9.9711
0,4.2e-08
0.83621,9.9162
0.82994,9.9141
0.83935,9.9451
0.82799,9.9525
0.83788,9.9417
0.83679,9.9466
0.82255,9.9555
0.82522,9.9582
0.8321,9.9669
0.83127,9.9315
0.82188,9.9513
0.83257,9.9719
0.82897,9.9524
0.79839,9.9464
0.8294,9.9329
0.82905,9.9647
0.83041,9.9457
0.81996,9.9428
0.79848,9.9494
0.82072,9.9386
0.80727,9.9424
0.82878,9.9307
0.82466,9.9414
0,4.1e-08
0.81532,9.9131
0.82588,9.9355
0.80728,9.9271
0.82677,9.9156
0.80728,9.9538
0.82842,9.9686
0,4.2e-08
0.79843,9.9598
0.80727,9.9288
0.82619,9.9479
0.81403,9.9765
0.81318,9.9532
0.82269,9.9621
0.80725,9.8299
0.8203,9.9544
0.8107,9.9703
0.81326,9.9884
0.8134,9.9735
0.82293,9.9216
0.8263,9.9216
0.82216,9.9011
0.81305,9.9128
0.79836,9.9206
0.82512,9.919
0.82255,9.9108
0.80725,9.9154
0.81162,9.9237
0.81365,9.9125
0.82644,9.8678
0.7984,9.9269
0.80918,9.9291
0.82611,9.9457
0.78955,9.9432
0.79842,9.9141
0.79843,9.9285
0,4.1e-08
0,4.1e-08
0.81156,9.9312
0.79852,9.9375
0.81295,9.9485
0.8257,9.919
0.82004,9.9277
0.82073,10.02
0.80704,10.052
0.78954,10.069
0.81792,10.039
0.80827,10.053
0.82075,10.059
0.82404,9.7568
0.82172,9.7801
0.81869,9.85
0.80728,9.935
0.81668,9.9312
0.81769,9.9311
0.81753,9.9118
0.79843,9.897
0.82203,9.846
0,4.2e-08
0.81119,9.8434
0,4.2e-08
0.82357,9.8241
0,4.2e-08
0.82133,9.8308
0.82378,9.8815
0.81451,9.8516
0.79844,9.8339
0.81976,10.001
0.81612,9.9879
0.81206,9.9997
0.80727,9.982
0.82171,10
0.81445,10.02
0.90608,9.9921
0.93408,10.053
0.0093782,10.053
0,9.1185
