on tims (s),off time (s)
0.9316,24.626
0.94402,19.144
0.93968,19.126
0,4.2e-08
0.94122,19.426
0.9414,19.247
0.94875,19.167
0.9444,19.187
0.9435,19.148
0.94442,19.296
0.93692,19.416
0.91968,19.601
0.91942,19.651
0.93194,19.648
0.9311,19.718
0.9293,19.425
0.935,19.588
0,5.3744
0.92435,14.087
0.92594,19.495
0.92275,19.482
0.92298,19.527
0.91944,19.435
0.9204,19.432
0.92427,19.551
0.92387,19.461
0.92806,19.515
-3.4394,3.4394
-4.1e-08,4.1e-08
0.92411,16.061
0.91489,19.411
0.92038,19.39
0.92516,19.457
0.92058,19.389
0.9246,19.424
0.92215,19.412
0.92275,19.434
0.92134,19.411
0.92545,19.418
0.92505,19.426
0.92462,19.431
0.92367,19.476
0.92202,19.465
0.93068,19.442
0.92831,19.448
0.92426,19.44
0.90182,19.462
0.92748,19.422
0.9271,19.419
0.92607,19.441
0.93125,19.4
0.9255,19.434
0.92902,19.414
0.92733,19.428
0.91093,19.443
0.92597,19.42
0.92739,19.415
0.92416,19.435
0.92235,19.384
0.90182,19.813
0.92809,19.541
0.9021,19.305
0.91854,19.542
0.9167,19.534
0.91821,19.435
0.91656,19.347
0.91741,19.454
0.92147,19.389
0.92368,19.422
0.92162,19.419
0.91748,19.441
0.92679,19.383
0.91852,19.403
0.92337,19.392
0.91915,19.364
0.92238,19.402
0.92178,19.417
0.92143,19.422
0.91858,19.451
0.9018,19.432
0.92103,19.334
0.91983,19.373
0.90185,19.452
0.91995,19.399
0.9166,19.459
0.91798,19.336
0.92079,19.33
0.91249,19.322
0.91759,19.308
0.90208,19.402
0.90149,19.415
0.91535,19.39
0.90207,19.403
1.0374,19.405
