on time,off time
3.6485,5.4394
4.1814,5.2033
3.9695,4.9585
3.9206,5.2057
4.0614,5.1707
3.8897,5.1494
3.8842,5.1406
3.8935,5.1664
3.9538,5.122
4.0438,5.165
4.0367,5.1361
4.0299,5.208
3.988,5.1012
4.1151,5.0323
4.0984,5.0765
4.093,5.0816
3.9627,5.0755
3.9858,5.0286
4.1309,5.047
3.8996,5.2056
3.9752,5.2754
4.022,5.2206
4.1239,5.0596
3.9598,5.251
3.9554,5.2667
4.0779,5.0968
4.0987,5.109
3.9104,5.1318
3.8241,5.2115
3.8894,5.1158
4.0699,5.1426
3.9364,5.1732
4.0988,5.0994
3.9449,5.0944
4.1284,5.0732
3.9411,5.1181
4.2083,5.0819
