Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","3387500","3259","63.9"
"1093000","3387500","3274","75.9"
"2186000","3387500","3272","88.2"
"3278000","3387500","3276","100.5"
"4371000","3387500","3273","112.4"
"5718000","3369400","3275","127.5"
"6810000","3369400","3273","139.8"
"7903000","3369400","3275","151.8"
"8996000","3369400","3274","164.1"
"10093000","3369400","3275","176.4"
"11441000","3388300","3274","191.5"
"12533000","3388300","3275","203.4"
"13626000","3388300","3274","215.7"
"14717000","3388300","3275","228.1"
"15809000","3388300","3274","240.0"
"17157000","3370500","3275","255.1"
"18250000","3370500","3274","267.4"
"19342000","3370500","3275","279.3"
"20441000","3370500","3274","291.6"
"21532000","3370500","3275","304.0"
"22886000","3363400","3274","318.7"
"23978000","3363400","3275","331.0"
"25070000","3363400","3274","343.3"
"26163000","3363400","3275","355.2"
"27255000","3363400","3274","367.5"
"28603000","3370200","3275","382.2"
"29701000","3370200","3275","394.6"
"30794000","3370200","3275","406.9"
"31886000","3370200","3275","419.2"
"32979000","3370200","3275","431.1"
"34328000","3386700","3275","446.2"
"35421000","3386700","3275","458.5"
"36513000","3386700","3275","470.5"
"37605000","3386700","3275","482.8"
"38698000","3386700","3275","494.7"
"40051000","3366400","3275","509.8"
"41144000","3366400","3275","522.1"
"42236000","3366400","3275","534.5"
"43329000","3366400","3275","546.4"
"44421000","3366400","3275","558.7"
"45770000","3390600","3275","573.8"
"46863000","3390600","3275","585.7"
"47956000","3390600","3275","598.0"
"49049000","3390600","3275","610.4"
"50147000","3390600","3275","622.3"
"51495000","3365200","3275","637.4"
"52589000","3365200","3275","649.7"
"53681000","3365200","3275","662.0"
"54773000","3365200","3275","673.9"
"55866000","3365200","3275","686.3"
"57214000","3390200","3275","701.4"
"58306000","3390200","3275","713.3"
"59398000","3390200","3275","725.6"
"60497000","3390200","3275","737.9"
"61590000","3390200","3275","749.8"
"62937000","3366800","3275","764.9"
"64035000","3366800","3275","777.3"
"65127000","3366800","3275","789.2"
"66220000","3366800","3275","801.5"
"67311000","3366800","3275","813.8"
"68660000","3366800","3275","828.5"
"69757000","3366800","3275","840.8"
"70851000","3366800","3275","853.2"
"71943000","3366800","3275","865.5"
"73035000","3366800","3275","877.4"
"74383000","3387900","3275","892.5"
"75475000","3387900","3275","904.8"
"76568000","3387900","3275","916.7"
"77661000","3387900","3275","929.1"
"78753000","3387900","3275","941.4"
"80107000","3366000","3275","956.1"
"81199000","3366000","3275","968.4"
"82292000","3366000","3275","980.7"
"83384000","3366000","3275","992.6"
"84477000","3366000","3275","1005.0"
"85824000","3391300","3275","1020.1"
"86916000","3391300","3275","1032.0"
"88009000","3391300","3275","1044.3"
"89101000","3391300","3275","1056.6"
"90200000","3391300","3275","1068.6"
"91548000","3366000","3275","1083.7"
"92640000","3366000","3275","1096.0"
"93732000","3366000","3275","1108.3"
"94824000","3366000","3275","1120.2"
"95917000","3366000","3275","1132.5"
"97265000","3391700","3275","1147.6"
"98357000","3391700","3275","1159.6"
"99450000","3391700","3275","1171.9"
"100548000","3391700","3275","1184.2"
"101640000","3391700","3275","1196.5"
"102988000","3366400","3275","1211.2"
"104081000","3366400","3275","1223.5"
"105174000","3366400","3275","1235.9"
"106271000","3366400","3275","1248.2"
"107364000","3366400","3275","1260.1"
"108712000","3387500","3275","1275.2"
"109810000","3387500","3275","1287.5"
"110902000","3387500","3275","1299.8"
"111995000","3387500","3275","1311.8"
"113086000","3387500","3275","1324.1"
"114435000","3387900","3275","1339.2"
"115528000","3387900","3275","1351.5"
"116620000","3387900","3275","1363.4"
"117712000","3387900","3275","1375.7"
"118804000","3387900","3275","1388.1"
"120158000","3387500","3275","1403.2"
"121251000","3387500","3275","1415.1"
"122342000","3387500","3275","1427.4"
"123435000","3387500","3275","1439.3"
"124527000","3387500","3275","1451.6"
"125876000","3369400","3275","1466.7"
"126968000","3369400","3275","1479.1"
"128061000","3369400","3275","1491.0"
"129153000","3369400","3275","1503.3"
"130252000","3369400","3275","1515.6"
"131600000","3387500","3275","1530.7"
"132693000","3387500","3275","1542.7"
"133786000","3387500","3275","1555.0"
"134878000","3387500","3275","1567.3"
"135971000","3387500","3275","1579.6"
"137318000","3369400","3275","1594.3"
"138412000","3369400","3275","1606.6"
"139503000","3369400","3275","1619.0"
"140601000","3369400","3275","1630.9"
"141694000","3369400","3275","1643.2"
"143042000","3387500","3275","1658.3"
"144134000","3387500","3275","1670.6"
"145228000","3387500","3275","1682.5"
"146321000","3387500","3275","1694.9"
"147412000","3387500","3275","1707.2"
"148765000","3366400","3275","1721.9"
"149864000","3366400","3275","1734.2"
"150957000","3366400","3275","1746.5"
"152049000","3366400","3275","1758.8"
"153142000","3366400","3275","1770.8"
"154490000","3387100","3275","1785.9"
"155583000","3387100","3275","1798.2"
"156675000","3387100","3275","1810.5"
"157767000","3387100","3275","1822.4"
"158860000","3387100","3275","1834.7"
"160214000","3387100","3275","1849.8"
"161306000","3387100","3275","1861.8"
"162398000","3387100","3275","1874.1"
"163490000","3387100","3275","1886.4"
"164583000","3387100","3275","1898.3"
"165931000","3370200","3275","1913.4"
"167025000","3370200","3275","1925.7"
"168116000","3370200","3276","1937.7"
"169208000","3370200","3276","1950.0"
"170306000","3370200","3275","1962.3"
"171654000","3387900","3275","1977.4"
"172746000","3387900","3276","1989.3"
"173839000","3387900","3276","2001.6"
"174932000","3387900","3275","2014.0"
"176024000","3387900","3275","2026.3"
"177373000","3369000","3276","2041.0"
"178465000","3369000","3275","2053.3"
"179557000","3369000","3275","2065.6"
"180655000","3369000","3276","2077.6"
"181748000","3369000","3275","2089.9"
"183095000","3388300","3275","2105.0"
"184188000","3388300","3276","2116.9"
"185281000","3388300","3276","2129.2"
"186373000","3388300","3276","2141.5"
"187466000","3388300","3276","2153.9"
