BenchmarkAndDistance,ActualMean,ActualSd,PredictionMean,PredSd,Difference
BitCount 100cm,33550.353,19.919,33693.902,99.793,143.549
BitCount 120cm,99815.832,1008.207,99618.170,303.237,19.662
BitCount 140cm,206575.550,219.747,206546.729,267.430,29.55
CRC 100cm,23337.998,23.339,23655.506,29.708,317.508
CRC 120cm,54626.126,771.290,54048.093,154.173,578.033
CRC 140cm,95888.740,1369.499,96297.124,421.776,408.384
Dijkstra 100cm,27136.569,459.938,27469.100,56.679,332.531
Dijkstra 120cm,40455.846,636.112,40506.445,74.279,50.599
Dijkstra 140cm,73032.293,88.785,73026.767,156.892,5.526
FIRNoRed 100cm,51716.969,33.936,51664.758,173.920,52.211
FIRNoRed 120cm,97558.188,98.225,97702.685,136.667,144.497
FIRNoRed 140cm,163037.556,138.595,163634.595,481.34,597.039
